year,species_code,hauljoin,sex,age,length
2013,21720,-9754,1,4,540
2013,21720,-10127,2,5,610
2013,21720,-9883,2,2,240
2013,21720,-10089,1,2,360
2013,21720,-10138,2,2,300
2013,21720,-10089,1,3,410
2013,21720,-10028,2,2,390
2013,21720,-10077,3,1,150
2013,21720,-9748,2,2,300
2013,21720,-10060,1,4,490
2013,21720,-10060,2,4,510
2013,21720,-9813,1,3,520
2013,21720,-10033,2,2,340
2013,21720,-10100,2,5,680
2013,21720,-9750,2,4,510
2013,21720,-10149,3,1,120
2013,21720,-10259,1,5,600
2013,21720,-10192,2,5,660
2013,21720,-10149,3,1,150
2013,21720,-10203,1,2,260
2013,21720,-10208,1,5,700
2013,21720,-10060,1,3,480
2013,21720,-10148,2,3,440
2013,21720,-9895,3,1,140
2013,21720,-9748,1,5,610
2013,21720,-10073,1,6,680
2013,21720,-10003,2,7,910
2013,21720,-10284,2,8,850
2013,21720,-10030,1,4,580
2013,21720,-10147,1,2,270
2013,21720,-10088,2,2,260
2013,21720,-10154,2,1,160
2013,21720,-9863,1,7,880
2013,21720,-10269,1,5,690
2013,21720,-9756,2,3,420
2013,21720,-10197,2,5,570
2013,21720,-10118,2,4,580
2013,21720,-9883,2,4,500
2013,21720,-10042,2,2,360
2013,21720,-10192,1,7,720
2013,21720,-10177,1,3,380
2013,21720,-9814,1,5,610
2013,21720,-10022,1,5,690
2013,21720,-9757,1,2,350
2013,21720,-9748,1,5,680
2013,21720,-10033,2,3,440
2013,21720,-10179,2,3,410
2013,21720,-10002,1,6,740
2013,21720,-10192,2,4,550
2013,21720,-10082,2,5,690
2013,21720,-10222,2,3,420
2013,21720,-10259,1,7,820
2013,21720,-9868,1,5,640
2013,21720,-10126,2,3,400
2013,21720,-9813,1,2,320
2013,21720,-10212,1,5,670
2013,21720,-10118,1,5,640
2013,21720,-10042,2,5,550
2013,21720,-10080,2,3,450
2013,21720,-10192,1,3,480
2013,21720,-9992,1,3,450
2013,21720,-9883,2,1,160
2013,21720,-9895,3,1,130
2013,21720,-10072,1,5,600
2013,21720,-10033,2,6,710
2013,21720,-9992,2,5,650
2013,21720,-10069,2,2,310
2013,21720,-9868,1,1,200
2013,21720,-10060,1,5,700
2013,21720,-10123,1,2,300
2013,21720,-10123,2,2,350
2013,21720,-10089,1,3,390
2013,21720,-10126,2,2,280
2013,21720,-9873,2,3,440
2013,21720,-10100,1,5,670
2013,21720,-9814,2,6,710
2013,21720,-10282,2,7,900
2013,21720,-10100,2,7,840
2013,21720,-9834,2,6,830
2013,21720,-10042,2,3,400
2013,21720,-10212,1,3,470
2013,21720,-9895,1,1,160
2013,21720,-10192,1,5,660
2013,21720,-10186,1,9,1010
2013,21720,-9813,1,3,440
2013,21720,-10069,2,4,450
2013,21720,-10025,2,7,750
2013,21720,-10013,2,6,690
2013,21720,-9814,2,7,780
2013,21720,-10077,1,4,540
2013,21720,-10208,2,5,710
2013,21720,-10192,1,4,550
2013,21720,-10243,1,5,660
2013,21720,-10202,2,3,440
2013,21720,-10123,2,3,360
2013,21720,-10077,2,2,300
2013,21720,-10197,1,4,580
2013,21720,-10041,1,4,550
2013,21720,-10043,2,5,680
2013,21720,-9833,1,6,660
2013,21720,-9868,1,5,570
2013,21720,-9868,2,3,460
2013,21720,-10149,3,1,90
2013,21720,-9813,1,2,290
2013,21720,-9754,1,3,420
2013,21720,-9752,2,4,500
2013,21720,-10075,1,5,610
2013,21720,-10222,1,3,480
2013,21720,-9895,1,2,320
2013,21720,-10123,2,2,320
2013,21720,-10039,1,1,170
2013,21720,-10126,2,3,350
2013,21720,-10212,2,3,490
2013,21720,-10148,1,3,420
2013,21720,-10028,2,4,500
2013,21720,-10269,2,7,860
2013,21720,-10033,1,3,420
2013,21720,-9864,3,1,150
2013,21720,-10080,1,3,470
2013,21720,-10080,1,4,460
2013,21720,-10043,1,5,650
2013,21720,-9861,2,5,580
2013,21720,-10025,1,6,720
2013,21720,-9752,1,1,240
2013,21720,-9895,1,2,280
2013,21720,-9813,3,1,130
2013,21720,-10192,2,5,620
2013,21720,-10202,1,3,430
2013,21720,-9835,1,2,370
2013,21720,-10034,1,2,250
2013,21720,-9813,2,2,300
2013,21720,-10053,1,4,580
2013,21720,-9836,1,3,390
2013,21720,-10197,2,5,610
2013,21720,-10075,2,5,610
2013,21720,-10080,2,3,490
2013,21720,-10069,1,3,440
2013,21720,-10179,2,3,430
2013,21720,-10212,1,6,710
2013,21720,-10276,2,6,770
2013,21720,-10025,2,4,540
2013,21720,-10246,2,1,160
2013,21720,-10072,1,5,590
2013,21720,-10034,2,5,590
2013,21720,-10192,1,5,670
2013,21720,-9895,1,2,240
2013,21720,-10030,1,2,390
2013,21720,-9748,2,5,680
2013,21720,-9838,2,3,450
2013,21720,-9834,1,5,560
2013,21720,-10167,2,5,640
2013,21720,-9750,1,5,640
2013,21720,-10072,2,2,330
2013,21720,-10246,2,3,350
2013,21720,-10185,1,6,770
2013,21720,-10138,2,5,720
2013,21720,-10030,2,4,490
2013,21720,-10033,2,4,580
2013,21720,-9902,2,6,640
2013,21720,-10030,1,3,450
2013,21720,-10080,2,2,320
2013,21720,-10141,2,4,480
2013,21720,-10197,1,5,630
2013,21720,-10075,2,2,280
2013,21720,-10167,2,3,410
2013,21720,-10272,1,7,770
2013,21720,-10120,2,5,670
2013,21720,-10126,2,4,510
2013,21720,-10203,1,2,270
2013,21720,-9868,1,2,300
2013,21720,-9992,2,7,760
2013,21720,-10080,1,2,280
2013,21720,-10109,1,5,690
2013,21720,-10126,2,2,230
2013,21720,-10053,2,3,470
2013,21720,-10203,2,3,380
2013,21720,-10053,1,5,660
2013,21720,-9754,2,6,660
2013,21720,-9866,2,5,720
2013,21720,-9870,1,2,320
2013,21720,-10080,1,4,510
