hauljoin,species_code,year,stratum,survey,lat_mid,long_mid,numcpue
-22788,21720,2023,43,98,59.67384,-171.898775,5241.98842795409
-22788,21740,2023,43,98,59.67384,-171.898775,2495.186491706147
-22755,21720,2023,41,98,58.3426,-171.64884,745.8487207661725
-22755,21740,2023,41,98,58.3426,-171.64884,17269.26653466292
-22709,21720,2023,61,98,56.67167,-172.56786,230.13900395839087
-22709,21740,2023,61,98,56.67167,-172.56786,8304.182392831937
-22631,21720,2023,42,98,57.507715,-169.962345,1768.393898317432
-22631,21740,2023,42,98,57.507715,-169.962345,27095.04674088663
-22583,21720,2023,41,98,58.66068,-169.77708,726.1494258513121
-22583,21740,2023,41,98,58.66068,-169.77708,9322.188575118196
-22565,21720,2023,41,98,59.66427,-169.930445,3223.125464763181
-22565,21740,2023,41,98,59.66427,-169.930445,24557.146398195662
-22858,21720,2023,62,98,59.676625,-173.872185,327.4300760282404
-22858,21740,2023,62,98,59.676625,-173.872185,8022.036862691891
-22807,21720,2023,41,98,60.98607,-171.50335,153.58944680767408
-22807,21740,2023,41,98,60.98607,-171.50335,4791.990740399431
-22771,21720,2023,41,98,60.3255,-171.342755,0
-22771,21740,2023,41,98,60.3255,-171.342755,262.1812219193827
-22728,21720,2023,61,98,57.003595,-171.40972,385.1731839996627
-22728,21740,2023,61,98,57.003595,-171.40972,9081.978233255204
-22647,21720,2023,42,98,57.66032,-170.891795,1133.4002923173825
-22647,21740,2023,42,98,57.66032,-170.891795,26932.664573372378
-22623,21720,2023,42,98,58.003655,-170.3424,618.132332474065
-22623,21740,2023,42,98,58.003655,-170.3424,17307.70530927382
-22605,21720,2023,41,98,58.329495,-170.38641,454.0739829929995
-22605,21740,2023,41,98,58.329495,-170.38641,12089.719797188613
-22564,21720,2023,41,98,60.002145,-169.97136,381.0232149824424
-22564,21740,2023,41,98,60.002145,-169.97136,7535.792474097195
-22839,21720,2023,61,98,58.68565,-174.27862,72.78634877471461
-22839,21740,2023,61,98,58.68565,-174.27862,37757.9184268832
-22823,21720,2023,61,98,58.6621,-173.647265,334.0067218110527
-22823,21740,2023,61,98,58.6621,-173.647265,9444.96785565699
-22778,21720,2023,43,98,59.989995,-171.94672,21.16989855511632
-22778,21740,2023,43,98,59.989995,-171.94672,5228.96494311373
-22754,21720,2023,41,98,57.98216,-171.56748,529.2214940134464
-22754,21740,2023,41,98,57.98216,-171.56748,30247.04385015313
-22743,21720,2023,61,98,57.66949,-173.38772,1327.7815855395236
-22743,21740,2023,61,98,57.66949,-173.38772,13015.999768105752
-22708,21720,2023,61,98,56.664525,-171.994625,251.21918633779626
-22708,21740,2023,61,98,56.664525,-171.994625,4082.311777989189
-22630,21720,2023,42,98,57.66609,-170.270335,882.7910321271733
-22630,21740,2023,42,98,57.66609,-170.270335,8587.149130691594
-22806,21720,2023,43,98,59.50115,-172.88797,1171.8593490511046
-22806,21740,2023,43,98,59.50115,-172.88797,10304.921894830348
-22764,21720,2023,41,98,59.66977,-171.25463,131.90070989401735
-22764,21740,2023,41,98,59.66977,-171.25463,5451.896008952716
-22727,21720,2023,61,98,56.671805,-171.363405,180.404141357469
-22727,21740,2023,61,98,56.671805,-171.363405,51194.68633633065
-22642,21720,2023,42,98,56.83843,-169.896235,574.91479113698006
-22642,21740,2023,42,98,56.83843,-169.896235,45919.00073726331
-22604,21720,2023,41,98,58.334375,-170.990815,1359.7991848563804
-22604,21740,2023,41,98,58.334375,-170.990815,24336.405999561986
-22557,21720,2023,41,98,60.32818,-170.679435,0
-22557,21740,2023,41,98,60.32818,-170.679435,1324.9245273985136
-22857,21720,2023,61,98,58.74896,-174.95067,310.05290742812355
-22857,21740,2023,61,98,58.74896,-174.95067,77920.1712980303
-22838,21720,2023,61,98,58.34198,-174.30189,94.22432406956213
-22838,21740,2023,61,98,58.34198,-174.30189,979.93297032344606
-22822,21720,2023,61,98,58.660455,-173.007145,333.3728441889409
-22822,21740,2023,61,98,58.660455,-173.007145,14742.48799857761
-22777,21720,2023,43,98,59.83185,-172.253075,1172.2502320078584
-22777,21740,2023,43,98,59.83185,-172.253075,5210.001031146037
-22742,21720,2023,61,98,57.670565,-172.819245,65.38026776445076
-22742,21740,2023,61,98,57.670565,-172.819245,13795.236498299111
-22657,21720,2023,42,98,56.99128,-169.570205,1760.8799778073724
-22657,21740,2023,42,98,56.99128,-169.570205,12247.019171491726
-22629,21720,2023,61,98,56.333495,-170.684155,78.01207143190923
-22629,21740,2023,61,98,56.333495,-170.684155,65920.2003599633
-22622,21720,2023,42,98,57.824385,-170.635365,2505.9604580150144
-22622,21740,2023,42,98,57.824385,-170.635365,13254.66688536867
-22576,21720,2023,41,98,59.02424,-170.491675,548.7736058269351
-22576,21740,2023,41,98,59.02424,-170.491675,13597.390455489613
-22805,21720,2023,43,98,59.66769,-173.23127,1368.8097986731414
-22805,21740,2023,43,98,59.66769,-173.23127,19915.21862013176
-22763,21720,2023,41,98,58.9881,-171.122915,267.6720593938768
-22763,21740,2023,41,98,58.9881,-171.122915,1770.7536236825697
-22753,21720,2023,41,98,59.01068,-172.427765,1166.7712155084773
-22753,21740,2023,41,98,59.01068,-172.427765,8126.459167664308
-22722,21720,2023,61,98,57.337855,-172.09994,297.26311548221895
-22722,21740,2023,61,98,57.337855,-172.09994,7346.645568346268
-22641,21720,2023,42,98,56.667445,-170.13268,114.39773254542277
-22641,21740,2023,42,98,56.667445,-170.13268,7245.189727876775
-22603,21720,2023,41,98,58.66657,-171.08787,3390.753866307096
-22603,21740,2023,41,98,58.66657,-171.08787,9852.023733770062
-22575,21720,2023,41,98,59.331055,-170.551235,488.4538115731198
-22575,21740,2023,41,98,59.331055,-170.551235,9104.779047722954
-22863,21720,2023,62,98,59.99705,-174.59523,980.1400069523207
-22863,21740,2023,62,98,59.99705,-174.59523,13117.192859000208
