year,survey,species_code,stratum,hauljoin,sex,length,age,lat_mid,long_mid
2013,98,21740,10,-9873,1,690,12,56.329275,-161.630115
2013,98,21720,31,-9876,2,430,3,57.00052,-161.56401
2013,98,21720,31,-9876,1,580,4,57.00052,-161.56401
2013,98,21740,31,-9876,3,140,1,57.00052,-161.56401
2013,98,21740,31,-9876,3,130,1,57.00052,-161.56401
2013,98,21740,31,-9876,1,660,16,57.00052,-161.56401
2013,98,21740,31,-9876,1,680,14,57.00052,-161.56401
2013,98,21740,31,-9876,2,690,17,57.00052,-161.56401
2013,98,21740,31,-9876,2,720,19,57.00052,-161.56401
2013,98,21740,31,-9876,2,690,20,57.00052,-161.56401
2013,98,21740,10,-9879,1,760,13,58.00027,-161.48009
2013,98,21740,10,-9879,2,720,14,58.00027,-161.48009
2013,98,21740,10,-9879,3,140,1,58.00027,-161.48009
2013,98,21740,10,-9879,3,120,1,58.00027,-161.48009
2013,98,21740,10,-9879,3,90,1,58.00027,-161.48009
2013,98,21740,31,-9877,3,140,1,57.3386,-161.547495
2013,98,21740,31,-9877,3,150,1,57.3386,-161.547495
2013,98,21740,31,-9877,2,260,2,57.3386,-161.547495
2013,98,21740,31,-9877,2,690,18,57.3386,-161.547495
2013,98,21740,31,-9877,1,280,3,57.3386,-161.547495
2013,98,21740,31,-9877,1,750,12,57.3386,-161.547495
2013,98,21740,10,-9878,3,120,1,57.670845,-161.51621
2013,98,21740,10,-9878,3,120,1,57.670845,-161.51621
2013,98,21740,10,-9878,2,320,3,57.670845,-161.51621
2013,98,21740,10,-9878,2,320,3,57.670845,-161.51621
2013,98,21740,10,-9878,1,330,3,57.670845,-161.51621
2013,98,21740,10,-9878,1,710,14,57.670845,-161.51621
2013,98,21720,10,-9880,2,560,6,58.002245,-162.11148
2013,98,21720,10,-9880,2,550,5,58.002245,-162.11148
2013,98,21740,10,-9880,3,120,1,58.002245,-162.11148
2013,98,21740,10,-9880,3,110,1,58.002245,-162.11148
2013,98,21740,10,-9883,3,120,1,58.004855,-162.760845
2013,98,21740,10,-9883,3,110,1,58.004855,-162.760845
2013,98,21720,10,-9883,2,260,2,58.004855,-162.760845
2013,98,21720,10,-9883,2,310,2,58.004855,-162.760845
2013,98,21720,10,-9883,2,320,2,58.004855,-162.760845
2013,98,21720,10,-9883,2,250,2,58.004855,-162.760845
2013,98,21720,10,-9883,2,290,2,58.004855,-162.760845
2013,98,21720,10,-9883,2,330,2,58.004855,-162.760845
2013,98,21720,10,-9883,2,280,2,58.004855,-162.760845
2013,98,21720,10,-9883,2,240,2,58.004855,-162.760845
2013,98,21720,10,-9883,2,300,2,58.004855,-162.760845
2013,98,21720,10,-9883,2,270,2,58.004855,-162.760845
