year,species_code,sex,bias
2013,21720,0,-1.9271326646153152e-5
2013,21720,1,-6.228904750533144e-5
2013,21720,2,-2.5272974872277184e-5
2013,21720,3,-5.58352979899608e-5
2013,21720,4,-1.746566326496147e-5
2013,21720,12,-2.1361655270660714e-5
2014,21720,0,-2.6734240507118183e-5
2014,21720,1,-7.486393904841682e-5
2014,21720,2,-4.832002672195803e-5
2014,21720,3,-5.5102790542771824e-5
2014,21720,4,-2.8119660532739084e-5
2014,21720,12,-3.058244889544583e-5
2014,21740,0,-8.614454815081397e-6
2014,21740,1,-1.2101406463877398e-4
2014,21740,2,-1.4887769096881511e-5
2014,21740,3,-2.1736575625254384e-4
2014,21740,4,-1.390283114685289e-5
2014,21740,12,-3.1305016579050245e-5
2015,21720,0,-5.433457593618993e-6
2015,21720,1,-4.9219473090676366e-5
2015,21720,2,-2.356686098139399e-5
2015,21720,3,-3.655446463651159e-5
2015,21720,4,-6.658224208228068e-6
2015,21720,12,-1.8747603874588452e-5
2015,21740,0,-2.2797742319776075e-5
2015,21740,1,-6.244034614880521e-5
2015,21740,2,-6.426963789832855e-5
2015,21740,3,-1.8100512676538032e-5
2015,21740,4,-1.7835145894797804e-5
2015,21740,12,-3.17115189030254e-5
2016,21720,0,-4.727317967235497e-5
2016,21720,1,-7.694340672726204e-5
2016,21720,2,-7.370283669296871e-5
2016,21720,3,-1.5274561539892082e-4
2016,21720,4,-4.1700069722596414e-5
2016,21720,12,-3.7866531871829585e-5
2016,21740,0,-1.2151646069947884e-4
2016,21740,1,-2.4077249157500804e-4
2016,21740,2,-3.6651058581493406e-4
2016,21740,3,-1.0101278516868382e-5
2016,21740,4,-6.129831624625185e-5
2016,21740,12,-1.6320790929228593e-4
2017,21720,0,-1.41580409853951e-4
2017,21720,1,-3.217250371777118e-4
2017,21720,2,-3.6967551957209284e-4
2017,21720,3,-9.144337504023243e-4
2017,21720,4,-1.2662225746039947e-4
2017,21720,12,-1.837388957195598e-4
2017,21740,0,-8.555117789499547e-5
2017,21740,1,-1.5429187296581807e-4
2017,21740,2,-4.61602361743702e-4
2017,21740,3,-1.8435720698580627e-5
2017,21740,4,-6.766456522695867e-5
2017,21740,12,-1.4648935283769743e-4
2018,21720,0,-1.2996149044627506e-4
2018,21720,1,-5.249580081481047e-4
2018,21720,2,-1.9812899046546973e-4
2018,21720,3,-9.642764668291394e-4
2018,21720,4,-1.2936601350772292e-4
2018,21720,12,-1.7649476139836167e-4
2018,21740,0,-1.8350563315709035e-4
2018,21740,1,-4.62896503014758e-4
2018,21740,2,-0.0010469830418325821
2018,21740,3,-3.667960747758263e-6
2018,21740,4,-1.5873006238646144e-4
2018,21740,12,-3.5996787330627267e-4
2019,21720,0,-1.0190145684740931e-4
2019,21720,1,-2.480317112343077e-4
2019,21720,2,-2.7696717959121514e-4
2019,21720,3,-0.00625043738525511
2019,21720,4,-6.695675790568336e-5
2019,21720,12,-1.392419226267828e-4
2019,21740,0,-1.8812703996232827e-4
2019,21740,1,-4.943085249389604e-4
2019,21740,2,-4.267747266077257e-4
2019,21740,3,-3.927250206046198e-6
2019,21740,4,-1.8542520686002447e-4
2019,21740,12,-2.3358242229965968e-4
2021,21720,0,-1.5620320783474854e-4
2021,21720,1,-3.937901296700906e-4
2021,21720,2,-2.226762448315611e-4
2021,21720,3,-5.686586183985046e-4
2021,21720,4,-1.1706585752970834e-4
2021,21720,12,-1.550029607572219e-4
2021,21740,0,-2.033310480576207e-4
2021,21740,1,-4.4977818200227015e-4
2021,21740,2,-4.0593153325440336e-4
2021,21740,3,-1.2548734777751597e-5
2021,21740,4,-2.0403578363688762e-4
2021,21740,12,-2.216450235863984e-4
2022,21720,0,-1.177659770215873e-4
2022,21720,1,-1.6790074353122787e-4
2022,21720,2,-2.1666042696564023e-4
2022,21720,3,-1.4698830438211424e-4
2022,21720,4,-1.0564079051079974e-4
2022,21720,12,-9.685136839443254e-5
2022,21740,0,-1.83404832417188e-4
2022,21740,1,-2.5129047866580815e-4
2022,21740,2,-4.024328199785759e-4
2022,21740,3,-3.303715823629167e-6
2022,21740,4,-2.005122073522597e-4
2022,21740,12,-1.6229457319305484e-4
2023,21720,0,-1.0739723178016422e-4
2023,21720,1,-3.3828218915140794e-4
2023,21720,2,-1.9358630710516832e-4
2023,21720,3,-4.0188345500550497e-4
2023,21720,4,-9.34702865739926e-5
2023,21720,12,-1.4053840178369773e-4
2023,21740,0,-1.5228559725605329e-4
2023,21740,1,-3.338972272120509e-4
2023,21740,2,-2.6681147880593527e-4
2023,21740,3,-1.014678357092855e-5
2023,21740,4,-1.4245626048924002e-4
2023,21740,12,-1.492861392559894e-4
