year,species_code,sex,bias
2013,21720,0,7.67736245809217e-20
2013,21720,1,6.819825272464624e-19
2013,21720,2,-7.753236964230132e-19
2013,21720,3,-4.488596994089988e-18
2013,21720,4,-4.945951532861067e-19
2013,21720,12,-9.706690556913317e-7
2013,21740,0,-1.4573201857510238e-19
2013,21740,1,5.745303476519168e-20
2013,21740,2,-3.3927103454888464e-20
2013,21740,3,-3.087619230339154e-19
2013,21740,4,-6.089531616047978e-19
2013,21740,12,-2.161173674283362e-7
2014,21720,0,-7.464819393221769e-20
2014,21720,1,9.652588165040064e-19
2014,21720,2,4.2184102384137245e-19
2014,21720,3,-1.0299920638612292e-18
2014,21720,4,-5.549249829065592e-19
2014,21720,12,-7.626232844027646e-7
2014,21740,0,1.8440657797249e-19
2014,21740,1,7.264248670424797e-19
2014,21740,2,-9.942829380322453e-19
2014,21740,3,4.689174395999807e-18
2014,21740,4,-1.525785108342066e-19
2014,21740,12,-6.632292465404828e-8
2015,21720,0,5.511841629537345e-19
2015,21720,1,6.377567139605867e-19
2015,21720,2,4.476705744456276e-19
2015,21720,3,-6.766224669029907e-19
2015,21720,4,6.823120719797406e-19
2015,21720,12,-8.438813981783497e-7
2015,21740,0,-2.703752060418085e-19
2015,21740,1,-8.765296240057442e-19
2015,21740,2,-5.521146401260462e-19
2015,21740,3,-7.561808207636169e-19
2015,21740,4,-7.26788607917727e-19
2015,21740,12,-6.290786423031712e-8
2016,21720,0,9.538839245163585e-19
2016,21720,1,8.438927275474063e-19
2016,21720,2,9.64939933512099e-19
2016,21720,3,8.131516293641283e-19
2016,21720,4,-5.843992367877459e-19
2016,21720,12,-1.4506313268030796e-6
2016,21740,0,-7.51711915584415e-20
2016,21740,1,5.679030129437293e-20
2016,21740,2,2.1912374070274293e-19
2016,21740,3,-8.487754150315092e-19
2016,21740,4,-4.12672065893993e-19
2016,21740,12,-1.0691360956425094e-7
2017,21720,0,5.6405028783247235e-19
2017,21720,1,3.998774391911336e-19
2017,21720,2,-4.920024184411046e-19
2017,21720,3,-3.673532066774415e-18
2017,21720,4,3.902243960481116e-19
2017,21720,12,-8.381267459804078e-7
2017,21740,0,-1.4652778373870707e-18
2017,21740,1,-7.877667034987225e-19
2017,21740,2,-1.2321153008997866e-18
2017,21740,3,1.4137996329210977e-18
2017,21740,4,-1.1106385165761254e-18
2017,21740,12,-6.846965189335688e-8
2018,21720,0,2.0810658366318989e-19
2018,21720,1,5.519574696289841e-19
2018,21720,2,-2.159369326866963e-19
2018,21720,3,8.673617379884035e-19
2018,21720,4,-9.787936279383026e-20
2018,21720,12,-2.6287269125490617e-6
2018,21740,0,7.648588213291225e-19
2018,21740,1,7.40024451584507e-19
2018,21740,2,-7.55104959743466e-19
2018,21740,3,3.007370311775268e-18
2018,21740,4,1.0556416531090707e-18
2018,21740,12,-1.8576660660790943e-7
2019,21720,0,6.218303151502634e-19
2019,21720,1,7.657975050658644e-19
2019,21720,2,1.0092307456646983e-19
2019,21720,3,2.365532012695646e-18
2019,21720,4,2.899375756473869e-19
2019,21720,12,-5.820185721576574e-7
2019,21740,0,-1.5251365067181655e-18
2019,21740,1,-1.5113756772500064e-18
2019,21740,2,1.0484727827104139e-18
2019,21740,3,-7.287306789544498e-19
2019,21740,4,-7.120803176861222e-19
2019,21740,12,-3.6092354902169166e-7
2021,21720,0,5.154565546980538e-19
2021,21720,1,1.1914309587752797e-21
2021,21720,2,-7.963856163875484e-20
2021,21720,3,7.643625316022806e-19
2021,21720,4,7.778229542048616e-19
2021,21720,12,-7.289041634812421e-7
2021,21740,0,5.007937260752822e-20
2021,21740,1,-3.6089068281725158e-19
2021,21740,2,-6.6839492626235e-19
2021,21740,3,1.8514130318290604e-19
2021,21740,4,5.468119818124131e-19
2021,21740,12,-1.6785854023764274e-7
2022,21720,0,-2.334791807085121e-20
2022,21720,1,5.762057974376946e-19
2022,21720,2,-5.896047896763954e-20
2022,21720,3,6.27079094356481e-19
2022,21720,4,1.5940992338029446e-19
2022,21720,12,-8.58906623431256e-7
2022,21740,0,4.282049799408254e-19
2022,21740,1,5.287508356114008e-19
2022,21740,2,-4.810656106811815e-19
2022,21740,3,1.1469955483086233e-18
2022,21740,4,-6.664717689910069e-19
2022,21740,12,-4.908022714186222e-8
2023,21720,0,-1.516787887770125e-19
2023,21720,1,-4.995284737633622e-19
2023,21720,2,5.822055033372416e-20
2023,21720,3,-3.6821960574979397e-19
2023,21720,4,-8.538092108323347e-19
2023,21720,12,-7.548416967229594e-7
2023,21740,0,1.6406557614456213e-19
2023,21740,1,1.379273052917077e-19
2023,21740,2,-6.868689820220092e-19
2023,21740,3,-1.2165999377794074e-18
2023,21740,4,-6.30568971844868e-19
2023,21740,12,-2.8860711233698427e-7
2024,21720,0,1.3829109342927352e-19
2024,21720,1,-1.4245211877378989e-19
2024,21720,2,1.273372864038965e-19
2024,21720,3,-4.837209692627635e-18
2024,21720,4,4.224792904264306e-19
2024,21720,12,-1.4647986488066186e-6
2024,21740,0,5.711059144508745e-19
2024,21740,1,1.1493417384937062e-18
2024,21740,2,-5.0084406607341195e-19
2024,21740,3,-7.538593230563273e-20
2024,21740,4,-7.945592561718964e-19
2024,21740,12,-8.217725996767566e-8
