year,species_code,sex,sex_desc,iss,nss,nhls
2013,21720,0,total_pre,850.0618482385812,19902,354
2013,21720,1,male,609.5210940799516,9385,344
2013,21720,2,female,683.3196900279629,9277,344
2013,21720,4,total_post,850.0618669111993,19902,354
2013,21720,12,female_male,1291.2735091053282,18662,353
2013,21740,0,total_pre,2566.9409382301155,247864,367
2013,21740,1,male,1987.2759914181681,108749,314
2013,21740,2,female,1919.4226033851105,107902,326
2013,21740,4,total_post,2566.940934785159,247864,367
2013,21740,12,female_male,3851.6362618710887,216651,338
2014,21720,0,total_pre,1065.319793493883,29204,373
2014,21720,1,male,806.5044383996509,14009,366
2014,21720,2,female,790.9362344800774,13112,367
2014,21720,4,total_post,1065.3197991857348,29204,373
2014,21720,12,female_male,1602.8066161218533,27121,372
2014,21740,0,total_pre,1975.303816375265,314054,368
2014,21740,1,male,1924.7899064302212,131797,342
2014,21740,2,female,2043.5006347599135,129980,348
2014,21740,4,total_post,1975.3038144312968,314054,368
2014,21740,12,female_male,3853.735414921048,261777,356
2015,21720,0,total_pre,2258.2118025607333,19880,354
2015,21720,1,male,1483.4377637954979,9850,347
2015,21720,2,female,1475.8367741094223,9626,344
2015,21720,4,total_post,2258.2117990975153,19880,354
2015,21720,12,female_male,2977.3746370107915,19476,352
2015,21740,0,total_pre,3392.017291672279,288941,375
2015,21740,1,male,2586.42266646192,134270,371
2015,21740,2,female,2768.2382818722417,136385,372
2015,21740,4,total_post,3392.0173026808634,288941,375
2015,21740,12,female_male,5296.569040652219,270655,373
2016,21720,0,total_pre,3170.00741147659,19180,376
2016,21720,1,male,2061.7774967965297,9496,369
2016,21720,2,female,1849.5727398188983,9382,373
2016,21720,4,total_post,3170.0073456512932,19180,376
2016,21720,12,female_male,3848.9374982823447,18878,376
2016,21740,0,total_pre,2037.3097207021658,151089,372
2016,21740,1,male,1743.9904226674528,75556,370
2016,21740,2,female,1517.7768846068334,67831,369
2016,21740,4,total_post,2037.3097236875321,151089,372
2016,21740,12,female_male,3255.0560699032426,143387,372
2017,21720,0,total_pre,4008.642591423822,15020,481
2017,21720,1,male,2419.5824026770915,7487,464
2017,21720,2,female,2378.3161752987594,7436,468
2017,21720,4,total_post,4008.6427079379623,15020,481
2017,21720,12,female_male,4725.729677483834,14923,480
2017,21740,0,total_pre,4038.6007158184793,223956,499
2017,21740,1,male,2904.3096699308903,114681,493
2017,21740,2,female,2973.468917353519,94856,497
2017,21740,4,total_post,4038.6007213134103,223956,499
2017,21740,12,female_male,5696.520546528787,209537,498
2018,21720,0,total_pre,2941.8277141488916,8806,364
2018,21720,1,male,1713.1680386171124,4379,339
2018,21720,2,female,1708.3767469902562,4351,355
2018,21720,4,total_post,2941.827672392946,8806,364
2018,21720,12,female_male,3426.2465597330674,8730,362
2018,21740,0,total_pre,1161.4584518198822,100983,370
2018,21740,1,male,941.3492086997251,45619,360
2018,21740,2,female,920.6216827012231,39109,366
2018,21740,4,total_post,1161.458452052956,100983,370
2018,21740,12,female_male,1820.354663887557,84728,368
2019,21720,0,total_pre,1835.321082551885,23408,479
2019,21720,1,male,1137.8662055356917,11821,463
2019,21720,2,female,1496.1993342364178,11437,467
2019,21720,4,total_post,1835.321058652897,23408,479
2019,21720,12,female_male,2584.055650872109,23258,479
2019,21740,0,total_pre,3548.332945244853,346352,506
2019,21740,1,male,3790.9115397084247,142499,486
2019,21740,2,female,4057.292175232503,142827,494
2019,21740,4,total_post,3548.332947853569,346352,506
2019,21740,12,female_male,7676.711389788514,285326,502
2021,21720,0,total_pre,3741.2673010158023,17397,476
2021,21720,1,male,2492.479842282912,8815,452
2021,21720,2,female,2364.333794387149,8071,461
2021,21720,4,total_post,3741.2672270830535,17397,476
2021,21720,12,female_male,4864.637251748334,16886,475
2021,21740,0,total_pre,2333.036266455122,124670,508
2021,21740,1,male,1682.9449282691571,56754,489
2021,21740,2,female,1890.887287187795,53748,494
2021,21740,4,total_post,2333.036266886065,124670,508
2021,21740,12,female_male,3541.444285826508,110502,502
2022,21720,0,total_pre,3049.8120187923105,16677,481
2022,21720,1,male,2095.382979060922,8287,461
2022,21720,2,female,2053.5339086881786,7888,461
2022,21720,4,total_post,3049.812047545016,16677,481
2022,21720,12,female_male,4147.457807201913,16175,478
2022,21740,0,total_pre,2240.7544141272906,242491,510
2022,21740,1,male,1900.1370606915266,117747,470
2022,21740,2,female,1710.5741425069039,104698,483
2022,21740,4,total_post,2240.7544168806767,242491,510
2022,21740,12,female_male,3618.261746043377,222445,488
2023,21720,0,total_pre,2245.7981288524365,19943,438
2023,21720,1,male,1603.550148889838,9641,420
2023,21720,2,female,1654.7498288184518,9462,422
2023,21720,4,total_post,2245.7981570711363,19943,438
2023,21720,12,female_male,3265.01689817349,19103,436
2023,21740,0,total_pre,1910.9326164607962,153681,478
2023,21740,1,male,1554.2109930686836,63502,445
2023,21740,2,female,1534.7970038780063,69416,449
2023,21740,4,total_post,1910.9326139181203,153681,478
2023,21740,12,female_male,3027.201198770989,132918,456
2024,21720,0,total_pre,2599.6924576346737,12950,335
2024,21720,1,male,1726.7652410932355,6440,324
2024,21720,2,female,1736.377665458617,6114,324
2024,21720,4,total_post,2599.6924299497546,12950,335
2024,21720,12,female_male,3462.1413785747145,12554,334
2024,21740,0,total_pre,1209.9612532670026,228762,348
2024,21740,1,male,870.0281160395338,104246,337
2024,21740,2,female,875.9181472631415,97563,341
2024,21740,4,total_post,1209.9612562473612,228762,348
2024,21740,12,female_male,1659.543480609205,201809,346
