sim,year,species_code,sex,rss,sex_desc
1,2013,21720,0,79.21130251697744,total_pre
1,2013,21720,1,53.451900252264515,male
1,2013,21720,2,25.614407528071382,female
1,2013,21720,4,41.65907222813233,total_post
2,2013,21720,0,303.8324500795935,total_pre
2,2013,21720,1,30.674647732811735,male
2,2013,21720,2,54.04546722710086,female
2,2013,21720,4,51.592338341438115,total_post
3,2013,21720,0,44.414238351607466,total_pre
3,2013,21720,1,77.1467994938959,male
3,2013,21720,2,18.308442571601645,female
3,2013,21720,4,38.10931360287588,total_post
4,2013,21720,0,216.90454705535615,total_pre
4,2013,21720,1,537.5406505749221,male
4,2013,21720,2,70.79605049891924,female
4,2013,21720,4,205.5275834376694,total_post
5,2013,21720,0,32.721214978910204,total_pre
5,2013,21720,1,23.92177444802727,male
5,2013,21720,2,35.60177190458477,female
5,2013,21720,4,32.98765083553456,total_post
1,2013,21720,12,78.29573104674611,female_male
2,2013,21720,12,89.23513721683705,female_male
3,2013,21720,12,67.18489682611269,female_male
4,2013,21720,12,295.5435534751477,female_male
5,2013,21720,12,64.42175728281619,female_male
1,2014,21720,0,89.46761991935834,total_pre
1,2014,21720,1,96.28592096950382,male
1,2014,21720,2,56.84903947258695,female
1,2014,21720,4,68.54389603843092,total_post
2,2014,21720,0,161.31286554767567,total_pre
2,2014,21720,1,122.71614130054353,male
2,2014,21720,2,1438.2000397565391,female
2,2014,21720,4,249.5345567392797,total_post
3,2014,21720,0,154.43726607512122,total_pre
3,2014,21720,1,125.86036775299328,male
3,2014,21720,2,255.89687376569626,female
3,2014,21720,4,169.43657562112665,total_post
4,2014,21720,0,67.3370409419006,total_pre
4,2014,21720,1,41.55517136090707,male
4,2014,21720,2,43.374951559184595,female
4,2014,21720,4,57.18896964981504,total_post
5,2014,21720,0,331.34269057153216,total_pre
5,2014,21720,1,122.27533495514074,male
5,2014,21720,2,574.1659451341087,female
5,2014,21720,4,320.58589641961373,total_post
1,2014,21720,12,158.8868272768078,female_male
2,2014,21720,12,502.35621005612285,female_male
3,2014,21720,12,363.66067126994653,female_male
4,2014,21720,12,94.28942567205848,female_male
5,2014,21720,12,451.1898229710184,female_male
1,2014,21740,0,103.44602680471657,total_pre
1,2014,21740,1,50.99044421266152,male
1,2014,21740,2,112.75599587529537,female
1,2014,21740,4,111.58526189013746,total_post
2,2014,21740,0,63.575303646176074,total_pre
2,2014,21740,1,138.23460436237494,male
2,2014,21740,2,70.04341124430688,female
2,2014,21740,4,125.66389185733976,total_post
3,2014,21740,0,260.4522852730857,total_pre
3,2014,21740,1,126.35945927036065,male
3,2014,21740,2,158.73328531254325,female
3,2014,21740,4,218.25894907817738,total_post
4,2014,21740,0,86.9676244178523,total_pre
4,2014,21740,1,126.21770911309767,male
4,2014,21740,2,52.468470206148154,female
4,2014,21740,4,75.18946315907677,total_post
5,2014,21740,0,85.83567653694931,total_pre
5,2014,21740,1,100.41391773668964,male
5,2014,21740,2,110.48185635430313,female
5,2014,21740,4,125.61712838206337,total_post
1,2014,21740,12,155.03664511044715,female_male
2,2014,21740,12,215.4130934641859,female_male
3,2014,21740,12,322.72012109696357,female_male
4,2014,21740,12,170.99568549330215,female_male
5,2014,21740,12,243.90330957820186,female_male
1,2015,21720,0,55.34242451495094,total_pre
1,2015,21720,1,103.74100358178634,male
1,2015,21720,2,153.42599766390114,female
1,2015,21720,4,148.0117041520272,total_post
