year,species_code,sex,bias
2013,21720,0,6.736648498655125e-18
2013,21720,1,-3.733721231496956e-18
2013,21720,2,5.314675649356828e-18
2013,21720,3,-9.662951862277058e-18
2013,21720,4,-2.2663995413302756e-18
2013,21720,12,-1.4604825050890282e-6
2014,21720,0,-3.0086610286472748e-18
2014,21720,1,3.2851325826310785e-18
2014,21720,2,3.843989520630425e-18
2014,21720,3,-2.638225286381394e-18
2014,21720,4,-7.195159871949256e-18
2014,21720,12,-5.377557039355629e-7
2014,21740,0,1.3322723434726769e-18
2014,21740,1,-2.791820594150174e-19
2014,21740,2,-1.2933824829378707e-19
2014,21740,3,-2.461138931542095e-17
2014,21740,4,4.2012834183813297e-19
2014,21740,12,5.348508950269355e-7
2015,21720,0,4.0037292725294034e-18
2015,21720,1,6.871131268126884e-18
2015,21720,2,-2.574980159653073e-19
2015,21720,3,3.9387032047324966e-18
2015,21720,4,3.563272139957167e-18
2015,21720,12,-9.238047304851986e-7
2015,21740,0,2.5173819192397806e-18
2015,21740,1,-5.104785228785916e-19
2015,21740,2,-1.0727895180382887e-18
2015,21740,3,-2.0690191458265044e-19
2015,21740,4,2.4787572168449846e-18
2015,21740,12,-9.691535964016454e-7
2016,21720,0,-8.920026964539831e-18
2016,21720,1,4.955296747428067e-18
2016,21720,2,-3.4694469519536144e-19
2016,21720,3,-7.209944447028604e-18
2016,21720,4,1.5499162874849597e-18
2016,21720,12,-1.9299900064406525e-6
2016,21740,0,6.979551485375435e-19
2016,21740,1,-8.276076583306018e-19
2016,21740,2,1.5566045476399028e-18
2016,21740,3,2.580627045968102e-19
2016,21740,4,-3.8285889215894375e-19
2016,21740,12,-7.2137936465025196e-6
2017,21720,0,8.870745047608673e-20
2017,21720,1,-1.723881454251952e-18
2017,21720,2,3.857952730427587e-18
2017,21720,3,-1.3629970168389198e-18
2017,21720,4,-9.301961820756317e-18
2017,21720,12,1.5022441253525668e-5
2017,21740,0,-2.4298883983351598e-18
2017,21740,1,2.8180786155150572e-18
2017,21740,2,-3.997092009229893e-18
2017,21740,3,-3.934402883615667e-18
2017,21740,4,-3.877617181595216e-18
2017,21740,12,-1.4551138747924904e-5
2018,21720,0,-1.9461428996114804e-18
2018,21720,1,3.734474149672293e-18
2018,21720,2,1.1384122811097797e-18
2018,21720,3,3.662194004839926e-18
2018,21720,4,-3.252606517456513e-20
2018,21720,12,-5.751245418743119e-6
2018,21740,0,-2.4781763942525814e-19
2018,21740,1,2.8189256484623115e-18
2018,21740,2,2.782785576046128e-18
2018,21740,3,-1.388518009535413e-17
2018,21740,4,3.014469254571304e-18
2018,21740,12,-1.7378107928140734e-5
2019,21720,0,-1.1010073061590297e-17
2019,21720,1,-1.6085343897902998e-17
2019,21720,2,7.589415207398531e-18
2019,21720,3,0
2019,21720,4,-1.0130514049161432e-17
2019,21720,12,-3.737862803742573e-6
2019,21740,0,1.9360753080098294e-18
2019,21740,1,-6.171612366455948e-18
2019,21740,2,-2.7879484435341545e-19
2019,21740,3,-2.358216728151177e-18
2019,21740,4,-1.4326957279272737e-19
2019,21740,12,-1.059064341971567e-5
2021,21720,0,9.334980705100193e-18
2021,21720,1,2.7948322668515226e-18
2021,21720,2,1.9190378452993428e-18
2021,21720,3,3.903127820947816e-18
2021,21720,4,-8.104411239329146e-18
2021,21720,12,-9.808522743727823e-6
2021,21740,0,-1.5566045476399028e-18
2021,21740,1,5.008180035211888e-18
2021,21740,2,-3.980570833268209e-18
2021,21740,3,9.440545211269428e-18
2021,21740,4,4.824699667560495e-18
2021,21740,12,-8.079384324255688e-6
2022,21720,0,-8.215295552424253e-18
2022,21720,1,-1.0408340855860842e-18
2022,21720,2,1.675585175659416e-18
2022,21720,3,2.20996542824962e-17
2022,21720,4,-7.638697124329691e-19
2022,21720,12,-9.022983419892947e-7
2022,21740,0,1.2235995946622122e-18
2022,21740,1,-2.2071258511312055e-18
2022,21740,2,-5.575896887068309e-19
2022,21740,3,4.387872676190777e-18
2022,21740,4,3.918616423411895e-18
2022,21740,12,1.2778097032864875e-18
2023,21720,0,-8.825405684032007e-18
2023,21720,1,1.3335686721571705e-17
2023,21720,2,-6.938893903907229e-19
2023,21720,3,-3.848917712323541e-18
2023,21720,4,1.6479873021779667e-18
2023,21720,12,-6.528222202175374e-6
2023,21740,0,-1.756407519426517e-18
2023,21740,1,4.929505877567427e-18
2023,21740,2,6.346196716281819e-18
2023,21740,3,8.194761420369604e-18
2023,21740,4,-2.7611015325964178e-18
2023,21740,12,-4.779524577040265e-19
