year,species_code,sex,bias
2013,21720,0,1.302628541011507e-19
2013,21720,1,5.871148371539807e-19
2013,21720,2,1.0183756120131702e-18
2013,21720,3,-5.627009275199768e-18
2013,21720,4,-3.299463659219517e-19
2013,21720,12,-1.0226577428690808e-6
2013,21740,0,5.382047346853824e-19
2013,21740,1,6.207541456306516e-19
2013,21740,2,5.699844951550695e-19
2013,21740,3,3.1818976801205023e-19
2013,21740,4,3.2979227801346186e-19
2013,21740,12,-1.9311003298516496e-7
2014,21720,0,-1.6463405972654552e-19
2014,21720,1,-7.634058826265581e-19
2014,21720,2,-1.5242869828831232e-19
2014,21720,3,-7.008592614995582e-19
2014,21720,4,-4.598387036663991e-19
2014,21720,12,-8.035179195723843e-7
2014,21740,0,6.820652393244945e-19
2014,21740,1,-6.600739528408929e-19
2014,21740,2,-9.923213880491301e-19
2014,21740,3,2.1141942363467336e-18
2014,21740,4,-4.3267836797435016e-19
2014,21740,12,-7.069920701867821e-8
2015,21720,0,5.30350756846799e-19
2015,21720,1,-7.075679875668482e-20
2015,21720,2,2.4569420199066673e-19
2015,21720,3,-7.549259571380549e-19
2015,21720,4,5.347481193814809e-19
2015,21720,12,-7.713146885614304e-7
2015,21740,0,3.4890889592169705e-19
2015,21740,1,6.707753560241775e-19
2015,21740,2,-4.3248574031519914e-19
2015,21740,3,3.137159063904816e-20
2015,21740,4,-3.969379533092517e-19
2015,21740,12,-5.272774570158864e-8
2016,21720,0,9.230697575088758e-19
2016,21720,1,4.773133954478867e-19
2016,21720,2,-1.5660698047012842e-19
2016,21720,3,-8.944667923005412e-19
2016,21720,4,-2.2646986168693923e-19
2016,21720,12,-1.4210851593358919e-6
2016,21740,0,-5.482211975377023e-19
2016,21740,1,-5.904210580645822e-19
2016,21740,2,9.661085934625135e-20
2016,21740,3,-2.0444955252583797e-19
2016,21740,4,4.945837309059371e-19
2016,21740,12,-1.2059375626755718e-7
2017,21720,0,-1.954804732185142e-19
2017,21720,1,5.674926026386053e-19
2017,21720,2,3.0104883356795535e-19
2017,21720,3,-2.3469788204392097e-18
2017,21720,4,-1.2801245759373686e-19
2017,21720,12,-8.705292251884958e-7
2017,21740,0,6.181501561847222e-19
2017,21740,1,-9.168805872125012e-19
2017,21740,2,1.0037458068428356e-18
2017,21740,3,-2.0925101928970235e-19
2017,21740,4,-6.297244156021378e-19
2017,21740,12,-6.758046945155812e-8
2018,21720,0,-2.574980159653073e-19
2018,21720,1,-6.12503824715837e-19
2018,21720,2,2.773750557942082e-19
2018,21720,3,-9.75781955236954e-19
2018,21720,4,4.773501231637568e-19
2018,21720,12,-2.5802710911233775e-6
2018,21740,0,4.482832398032055e-19
2018,21740,1,-3.7323229548856154e-20
2018,21740,2,-5.825095403735309e-19
2018,21740,3,-2.1400085737868646e-18
2018,21740,4,-5.432702303107933e-19
2018,21740,12,-1.9762628229787403e-7
2019,21720,0,-5.976087772543106e-19
2019,21720,1,-3.059682307352475e-19
2019,21720,2,-1.8050812765317176e-19
2019,21720,3,-6.30808536718839e-19
2019,21720,4,-7.831630586358059e-19
2019,21720,12,-4.3898077980112784e-7
2019,21740,0,-3.0416833835486817e-19
2019,21740,1,1.143467588858472e-18
2019,21740,2,-1.3176752539468717e-18
2019,21740,3,2.1062885955056934e-18
2019,21740,4,-3.51411302736939e-19
2019,21740,12,-3.806448185493145e-7
2021,21720,0,1.1495306164950982e-18
2021,21720,1,-4.0925653433930853e-19
2021,21720,2,-5.102456615872503e-19
2021,21720,3,1.8973538018496328e-19
2021,21720,4,1.0256499920539451e-19
2021,21720,12,-6.929437000892844e-7
2021,21740,0,-6.4922174609277555e-19
2021,21740,1,-5.567465591372136e-19
2021,21740,2,8.559697586398239e-19
2021,21740,3,-8.476072068795575e-19
2021,21740,4,-5.754254509621269e-19
2021,21740,12,-1.8711152430840987e-7
2022,21720,0,-5.582030987054082e-20
2022,21720,1,4.51403404505984e-19
2022,21720,2,-3.4845363636325363e-19
2022,21720,3,-9.611305745276904e-19
2022,21720,4,-1.0868858412292804e-19
2022,21720,12,-8.738342779560233e-7
2022,21740,0,5.767578568311148e-19
2022,21740,1,8.620014100833912e-19
2022,21740,2,-9.789245702296656e-19
2022,21740,3,-1.5074927706600535e-18
2022,21740,4,4.266540745444443e-19
2022,21740,12,-5.2312074011818865e-8
2023,21720,0,7.304675242907388e-19
2023,21720,1,-7.487771253728015e-19
2023,21720,2,-1.0147108980372945e-18
2023,21720,3,7.28256553594037e-19
2023,21720,4,1.8508097691924266e-19
2023,21720,12,-7.465087215311434e-7
2023,21740,0,5.889937713504694e-19
2023,21740,1,1.234569484047335e-18
2023,21740,2,8.743622161701229e-19
2023,21740,3,2.998236007757991e-18
2023,21740,4,-4.446217112295698e-19
2023,21740,12,-3.092502664837975e-7
2024,21720,0,2.2486131791599876e-19
2024,21720,1,-3.6350889505277886e-19
2024,21720,2,-9.571472303973594e-20
2024,21720,3,-4.336808689942018e-19
2024,21720,4,2.977407241532259e-19
2024,21720,12,-1.558455452224817e-6
2024,21740,0,-3.936404115304235e-19
2024,21740,1,1.5005052042392632e-18
2024,21740,2,1.0686297975321368e-18
2024,21740,3,-1.723288531188874e-18
2024,21740,4,1.0427399097174064e-18
2024,21740,12,-8.37341299860154e-8
