year,species_code,sex,sex_desc,iss,nss,nhls
2013,21720,0,total_pre,141.13955246337912,1348,127
2013,21720,1,male,116.67107887967983,642,100
2013,21720,2,female,108.85394417702993,677,115
2013,21720,4,total_post,135.13595949756407,1348,127
2013,21720,12,female_male,258.1748471620896,1319,127
2014,21720,0,total_pre,128.0549205579858,1365,119
2014,21720,1,male,99.54812319444567,651,104
2014,21720,2,female,106.24783103403607,714,110
2014,21720,4,total_post,120.8687423680896,1365,119
2014,21720,12,female_male,230.30290832263663,1365,119
2014,21740,0,total_pre,304.034263880049,1762,316
2014,21740,1,male,146.1806754792137,689,285
2014,21740,2,female,154.11725476559207,752,301
2014,21740,4,total_post,274.15668934694366,1762,316
2014,21740,12,female_male,357.2934269127078,1441,314
2015,21720,0,total_pre,323.2943505880112,1800,231
2015,21720,1,male,245.10497584283004,914,218
2015,21720,2,female,224.23870660361865,877,215
2015,21720,4,total_post,299.17532542714923,1800,231
2015,21720,12,female_male,548.5394957059245,1791,231
2015,21740,0,total_pre,485.3759147309647,2029,354
2015,21740,1,male,275.36098258471173,858,323
2015,21740,2,female,233.55325831981838,921,337
2015,21740,4,total_post,417.6296145408637,2029,354
2015,21740,12,female_male,558.4069733220131,1779,353
2016,21720,0,total_pre,427.70347474503393,1525,253
2016,21720,1,male,225.1517538892092,738,231
2016,21720,2,female,236.8531371212154,776,227
2016,21720,4,total_post,358.96042016621726,1525,253
2016,21720,12,female_male,517.7340865289245,1514,253
2016,21740,0,total_pre,364.49230228861745,1496,342
2016,21740,1,male,205.9931048989219,724,310
2016,21740,2,female,197.00919668483428,695,301
2016,21740,4,total_post,305.5098302989654,1496,342
2016,21740,12,female_male,443.41264931560374,1419,342
2017,21720,0,total_pre,380.66614922291063,1259,341
2017,21720,1,male,171.89846071270185,610,319
2017,21720,2,female,135.30577906425142,635,325
2017,21720,4,total_post,202.98504554693034,1259,341
2017,21720,12,female_male,332.2945599667699,1245,341
2017,21740,0,total_pre,507.9332144753961,1494,339
2017,21740,1,male,255.3104885564835,712,316
2017,21740,2,female,236.84123319235223,680,319
2017,21740,4,total_post,423.75307334532306,1494,339
2017,21740,12,female_male,527.9355105873336,1392,339
2018,21720,0,total_pre,346.18699171802956,1489,403
2018,21720,1,male,174.92053076273717,702,359
2018,21720,2,female,172.4343716519159,784,382
2018,21720,4,total_post,243.78371029486695,1489,403
2018,21720,12,female_male,386.28639697325997,1486,403
2018,21740,0,total_pre,258.9254538674561,1465,356
2018,21740,1,male,133.52647099024225,703,322
2018,21740,2,female,135.71292170429436,678,319
2018,21740,4,total_post,200.17011989937177,1465,356
2018,21740,12,female_male,296.144712485089,1381,353
2019,21720,0,total_pre,294.03288919986784,1401,363
2019,21720,1,male,166.5344235798766,676,331
2019,21720,2,female,151.74147454899347,720,337
2019,21720,4,total_post,193.45353216086446,1401,363
2019,21720,12,female_male,314.45092305181765,1396,363
2019,21740,0,total_pre,407.24555328446894,1474,315
2019,21740,1,male,194.92617493538745,720,292
2019,21740,2,female,206.69139282467907,679,279
2019,21740,4,total_post,327.3932562665184,1474,315
2019,21740,12,female_male,469.4619575755689,1399,315
2021,21720,0,total_pre,398.2280447018988,1281,358
2021,21720,1,male,201.47389569939529,605,319
2021,21720,2,female,185.74304275918345,676,338
2021,21720,4,total_post,286.43168741103517,1281,358
2021,21720,12,female_male,433.4664766180536,1281,358
2021,21740,0,total_pre,339.349895186188,1496,349
2021,21740,1,male,165.56275948997097,702,312
2021,21740,2,female,154.0976490125065,747,311
2021,21740,4,total_post,257.2129987281419,1496,349
2021,21740,12,female_male,342.84442047516325,1449,348
2022,21720,0,total_pre,352.30942177653685,1375,359
2022,21720,1,male,200.01617056386877,671,331
2022,21720,2,female,197.99601536337866,692,341
2022,21720,4,total_post,260.0475936493502,1375,359
2022,21720,12,female_male,437.7116452722851,1363,359
2022,21740,0,total_pre,409.080086805921,1515,335
2022,21740,1,male,202.84027143150035,664,299
2022,21740,2,female,195.2128474152148,745,316
2022,21740,4,total_post,356.7683912236008,1515,335
2022,21740,12,female_male,435.5918619472559,1409,331
2023,21720,0,total_pre,286.6448699103852,1337,344
2023,21720,1,male,164.78918524395914,666,317
2023,21720,2,female,116.0568592353493,647,311
2023,21720,4,total_post,177.6686661745175,1337,344
2023,21720,12,female_male,283.31026326156893,1313,344
2023,21740,0,total_pre,362.7301576019889,1552,333
2023,21740,1,male,178.59595355852795,622,292
2023,21740,2,female,188.31794058709028,766,310
2023,21740,4,total_post,323.5278883258434,1552,333
2023,21740,12,female_male,400.50104010431653,1388,333
