year,species_code,sex,sex_desc,iss,nss,nhls
2013,21720,0,total_pre,927.4664134312325,19902,354
2013,21720,1,male,643.7898786373447,9385,344
2013,21720,2,female,733.0200068227881,9277,344
2013,21720,4,total_post,927.4664181297932,19902,354
2013,21720,12,female_male,1372.8554351180726,18662,353
2013,21740,0,total_pre,2579.1087477195715,247864,367
2013,21740,1,male,1997.2959215665314,108749,314
2013,21740,2,female,2019.6206527570844,107902,326
2013,21740,4,total_post,2579.1087409927754,247864,367
2013,21740,12,female_male,3953.2506488877834,216651,338
2014,21720,0,total_pre,1052.9109005453108,29204,373
2014,21720,1,male,794.9146493311305,14009,366
2014,21720,2,female,787.6271664788397,13112,367
2014,21720,4,total_post,1052.910904595825,29204,373
2014,21720,12,female_male,1586.9140656086495,27121,372
2014,21740,0,total_pre,1920.0385407458634,314054,368
2014,21740,1,male,1810.2739880760562,131797,342
2014,21740,2,female,1994.6206975856542,129980,348
2014,21740,4,total_post,1920.0385434707975,314054,368
2014,21740,12,female_male,3679.463643282979,261777,356
2015,21720,0,total_pre,2051.1365915946026,19880,354
2015,21720,1,male,1385.1089379009961,9850,347
2015,21720,2,female,1407.6819034155108,9626,344
2015,21720,4,total_post,2051.1365847637994,19880,354
2015,21720,12,female_male,2805.5675067355537,19476,352
2015,21740,0,total_pre,3412.1177296515493,288941,375
2015,21740,1,male,2630.8922962398874,134270,371
2015,21740,2,female,2787.125358237366,136385,372
2015,21740,4,total_post,3412.1177303949817,288941,375
2015,21740,12,female_male,5355.038829227599,270655,373
2016,21720,0,total_pre,3169.144306908407,19180,376
2016,21720,1,male,2072.8158536561377,9496,369
2016,21720,2,female,1874.5337264805582,9382,373
2016,21720,4,total_post,3169.144377806172,19180,376
2016,21720,12,female_male,3911.410710458974,18878,376
2016,21740,0,total_pre,2170.3050027424983,151089,372
2016,21740,1,male,1770.1049689645154,75556,370
2016,21740,2,female,1645.462054328857,67831,369
2016,21740,4,total_post,2170.3050047600714,151089,372
2016,21740,12,female_male,3411.0487199592762,143387,372
2017,21720,0,total_pre,3879.2078067868824,15020,481
2017,21720,1,male,2355.876050005408,7487,464
2017,21720,2,female,2332.384356724713,7436,468
2017,21720,4,total_post,3879.2078166215506,15020,481
2017,21720,12,female_male,4610.775654543638,14923,480
2017,21740,0,total_pre,4088.302057975182,223956,499
2017,21740,1,male,2876.36577508607,114681,493
2017,21740,2,female,3045.8453110320506,94856,497
2017,21740,4,total_post,4088.3020440454725,223956,499
2017,21740,12,female_male,5737.712526575115,209537,498
2018,21720,0,total_pre,2930.5447279474174,8806,364
2018,21720,1,male,1706.8882906875747,4379,339
2018,21720,2,female,1705.7053715535267,4351,355
2018,21720,4,total_post,2930.544732083462,8806,364
2018,21720,12,female_male,3418.655450163935,8730,362
2018,21740,0,total_pre,1216.8629973549548,100983,370
2018,21740,1,male,973.2404122722477,45619,360
2018,21740,2,female,965.0428235549651,39109,366
2018,21740,4,total_post,1216.8629936645498,100983,370
2018,21740,12,female_male,1903.0725610786865,84728,368
2019,21720,0,total_pre,1851.2928281942338,23408,479
2019,21720,1,male,1140.9952863840736,11821,463
2019,21720,2,female,1484.990731399219,11437,467
2019,21720,4,total_post,1851.2929512382389,23408,479
2019,21720,12,female_male,2574.7809180667405,23258,479
2019,21740,0,total_pre,3276.851243251219,346352,506
2019,21740,1,male,3780.33964841376,142499,486
2019,21740,2,female,3908.758777789658,142827,494
2019,21740,4,total_post,3276.851245052195,346352,506
2019,21740,12,female_male,7532.697931350822,285326,502
2021,21720,0,total_pre,3793.8218826730176,17397,476
2021,21720,1,male,2445.229239588184,8815,452
2021,21720,2,female,2440.967419657477,8071,461
2021,21720,4,total_post,3793.821972850933,17397,476
2021,21720,12,female_male,4864.666815465037,16886,475
2021,21740,0,total_pre,2267.8052477274564,124670,508
2021,21740,1,male,1599.4689250358,56754,489
2021,21740,2,female,1910.2115032806698,53748,494
2021,21740,4,total_post,2267.8052449107213,124670,508
2021,21740,12,female_male,3465.443330970443,110502,502
2022,21720,0,total_pre,3107.83049124735,16677,481
2022,21720,1,male,2147.1546977158237,8287,461
2022,21720,2,female,2032.1494247259911,7888,461
2022,21720,4,total_post,3107.830429020624,16677,481
2022,21720,12,female_male,4177.477839694009,16175,478
2022,21740,0,total_pre,2224.0259307014653,242491,510
2022,21740,1,male,1902.8657341674982,117747,470
2022,21740,2,female,1682.8698654854895,104698,483
2022,21740,4,total_post,2224.025925591003,242491,510
2022,21740,12,female_male,3583.1468121596436,222445,488
2023,21720,0,total_pre,2319.1255693261805,19943,438
2023,21720,1,male,1590.103717737549,9641,420
2023,21720,2,female,1675.8132734834664,9462,422
2023,21720,4,total_post,2319.1255364600697,19943,438
2023,21720,12,female_male,3267.251208134084,19103,436
2023,21740,0,total_pre,1843.2790285583017,153681,478
2023,21740,1,male,1572.3285325633042,63502,445
2023,21740,2,female,1520.0847760243319,69416,449
2023,21740,4,total_post,1843.279023588454,153681,478
2023,21740,12,female_male,3028.022291278029,132918,456
2024,21720,0,total_pre,2552.862506862774,12950,335
2024,21720,1,male,1702.6984756590982,6440,324
2024,21720,2,female,1725.3747926676956,6114,324
2024,21720,4,total_post,2552.862390535696,12950,335
2024,21720,12,female_male,3428.289273992326,12554,334
2024,21740,0,total_pre,1136.3648183405867,228762,348
2024,21740,1,male,817.0817549834009,104246,337
2024,21740,2,female,829.614735405266,97563,341
2024,21740,4,total_post,1136.3648159071465,228762,348
2024,21740,12,female_male,1557.2689489431166,201809,346
