year,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
2013,21720,0,1,15.528180000000006,0.8701266162211756,15.5,3.48
2013,21720,0,2,28.93967999999999,0.5066925816949458,28.79,3.36
2013,21720,0,3,44.11943999999999,0.6009358819945246,44.13,4.9
2013,21720,0,4,50.61984,0.8258338680116664,50.52,5.29
2013,21720,0,5,61.96651999999994,0.6936276582263088,61.93,6
2013,21720,0,6,66.37278000000005,0.8445632277641401,66.37,6.18
2013,21720,0,7,75.06007999999997,2.3603632395980267,75.42,8.1
2013,21720,0,8,76.33312,2.769884326820876,76.13,6.25
2013,21720,0,9,81.66933467741939,4.952235630325943,81.93,7.73
2013,21720,0,10,87.60077747989274,7.094688167943091,88.32,7.74
2013,21720,0,11,86.47714640198511,6.3446161644762284,83.91,6.9
2013,21720,0,12,98.27749049429656,1.7847275581921083,99.04,2
2013,21720,0,13,92,0,92,0
2013,21720,1,1,17.48482,1.3844539693273927,17.82,3.3
2013,21720,1,2,28.923460000000002,0.5774977365075491,28.73,3.42
2013,21720,1,3,43.9795,0.7020131015797206,44.01,4.56
2013,21720,1,4,50.61460000000001,1.1071706705777455,50.51,5.08
2013,21720,1,5,61.039039999999936,0.7615006532431733,61.03,5.19
2013,21720,1,6,66.1795,1.2636413767592911,66.61,6.29
2013,21720,1,7,72.17916000000007,3.026091762837708,71.74,6.73
2013,21720,1,8,75.67433999999994,3.28901124265464,75.67,5.32
2013,21720,1,9,81.89958810068649,6.088573092853041,81.06,6.55
2013,21720,1,10,80,0,80,0
2013,21720,1,11,83.23081325301204,5.605898080979117,81.76,5.57
2013,21720,1,12,101,0,101,0
2013,21720,2,1,17.87355999999999,1.3726764395207016,18.19,3.47
2013,21720,2,2,28.992800000000017,0.44442365460170896,28.87,3.27
2013,21720,2,3,44.27613999999999,0.8240107328036154,44.24,5.21
2013,21720,2,4,50.74757999999998,1.1093893062697746,50.64,5.55
2013,21720,2,5,63.15811999999998,1.1052897341388752,63.03,6.63
2013,21720,2,6,66.39065999999998,1.2097087893828915,66.35,6.35
2013,21720,2,7,77.55369999999995,2.9873797524873105,78.23,7.99
2013,21720,2,8,77.40735470941881,4.122202765389983,76.1,7.03
2013,21720,2,9,82.55400862068963,6.551499448169402,82.06,7.96
2013,21720,2,10,92,0,92,0
2013,21720,2,11,94,0,94,0
2013,21720,2,12,97,0,97,0
2013,21720,2,13,92,0,92,0
2013,21720,3,1,13.490959999999992,0.33832825838354336,13.41,1.86
2013,21720,3,2,23,0,23,0
2013,21720,3,3,43.9515089514066,0.6444425333308011,44.02,0.81
2013,21720,3,4,49.926349206349215,7.7105207084839344,48.71,8.74
2013,21720,3,5,65.94239608801952,2.0912133239483652,65.45,4.78
2013,21720,3,6,67.8517293233083,3.0200521255638795,67.8,5.98
2013,21720,3,7,73.1661676646707,5.631128651853557,74.74,7.45
2013,21720,3,8,75.57339055793993,6.026284746933002,76.18,6.28
2013,21720,4,1,15.481427356608881,0.87319817385105,15.551789079916837,2.5691046324039193
2013,21720,4,2,28.955819046170976,0.48189632788750875,28.797720522631998,3.3467239137011333
2013,21720,4,3,44.13465872323623,0.5977204746465693,44.126989638988206,4.8887695822548745
2013,21720,4,4,50.6591227661046,0.853308748093312,50.57324625503006,5.313065635196944
2013,21720,4,5,62.08617735699858,0.6809910440059067,62.0379644950118,5.911540724066634
2013,21720,4,6,66.25589376317392,0.8786952501376423,66.47771557482297,6.32047327001482
2013,21720,4,7,74.77724475776384,2.531492283980112,75.27122268148382,7.415999612973646
2013,21720,4,8,75.99963858685607,2.7939824171168444,75.89716382051758,6.220277433515816
2013,21720,4,9,81.08827083825844,5.04017199986465,81.60803596180013,7.322730706138176
2013,21720,4,10,86.94195818553504,5.318239604496006,88.13011863758132,0
2013,21720,4,11,86.25713513182939,6.143651631277233,84.22721712453323,4.447254952316171
2013,21720,4,12,98.24824002867825,1.6957128541945408,99.03881133852873,0
2013,21720,4,13,92,0,92,0
2014,21720,0,1,18.062060000000002,0.29671879023911174,17.99,2.78
2014,21720,0,2,32.03720000000004,0.5952037424193333,31.92,3.54
2014,21720,0,3,44.35812,0.666056550344273,44.4,5.03
2014,21720,0,4,51.87924,0.6790304758803897,51.84,6.35
2014,21720,0,5,61.43450000000001,1.0280204287872923,61.32,5.94
2014,21720,0,6,67.59847999999994,1.3113719084090252,67.53,7.09
2014,21720,0,7,71.35794000000004,2.400141102315038,71.43,7.92
2014,21720,0,8,80.589999999999975,4.1624420533738835,80.56,8.44
2014,21720,0,9,83.11056680161941,3.7366939975097573,84.23,5.72
2014,21720,0,10,84.47520242914983,5.381178590403746,84.55,7.16
2014,21720,0,12,84,0,84,0
2014,21720,1,1,18.6284,0.32970053820062156,18.46,2.56
2014,21720,1,2,32.47554000000001,0.6121311276473936,32.14,3.4
2014,21720,1,3,44.69439999999999,0.7047248500148531,44.68,4.91
2014,21720,1,4,51.788859999999985,0.8506145959137797,51.73,6.12
2014,21720,1,5,61.97823999999999,1.351711192783945,61.81,5.41
2014,21720,1,6,66.08620000000002,1.8379441878564622,65.8,7.01
2014,21720,1,7,70.75278000000004,2.941143437685773,71.12,7.46
