year,species_code,sex,age,agepop,mean_length,sd_length
2013,21720,1,1,25071525,18.95,3.81
2013,21720,1,2,165432831,28.85,3.2
2013,21720,1,3,68815462,43.62,4
2013,21720,1,4,45469748,51.69,3.72
2013,21720,1,5,49190884,62.5,4.18
2013,21720,1,6,9453353,69.76,4.83
2013,21720,1,7,3465087,78.52,4.7
2013,21720,1,8,229935,83.91,4.27
2013,21720,1,9,193699,85.14,8.28
2013,21720,2,1,15342156,19.08,4.84
2013,21720,2,2,164886314,28.96,3.36
2013,21720,2,3,63111312,43.64,3.73
2013,21720,2,4,47861278,51.72,3.62
2013,21720,2,5,47453105,63.75,4.41
2013,21720,2,6,12744298,70.98,5.18
2013,21720,2,7,4166007,80.45,4.39
2013,21720,2,8,1115330,85.04,5.69
2013,21720,2,9,252630,93.71,2.41
2013,21720,2,11,28626,97,0
2013,21720,3,1,39370456,13.41,1.86
2013,21720,3,2,22199,23,0
2013,21720,3,3,87867,43.96,0.81
2013,21720,3,4,13673,53.56,7.8
2013,21720,3,5,136272,64.97,3.91
2013,21720,3,6,33003,70.46,5.25
2013,21720,3,7,25868,79.74,3.12
2013,21720,3,8,2225,81,0
2014,21720,1,1,137789157,18.64,2.7
2014,21720,1,2,104740571,32.5,3.16
2014,21720,1,3,145073247,43.6,3.92
2014,21720,1,4,90442868,52.32,4.35
2014,21720,1,5,37902673,60.79,3.93
2014,21720,1,6,19618418,69.57,4.33
2014,21720,1,7,2400763,75.33,5.27
2014,21720,1,8,1193536,83.27,6.57
2014,21720,1,9,65636,90.37,1.49
2014,21720,2,1,123768882,18.65,2.64
2014,21720,2,2,109836914,32.19,3.62
2014,21720,2,3,126687317,43.72,3.61
2014,21720,2,4,104017913,52.12,4.35
2014,21720,2,5,41551154,62.21,3.63
2014,21720,2,6,19372244,71.66,5.33
2014,21720,2,7,3113721,81.1,3.89
2014,21720,2,8,1086680,86.87,3.39
2014,21720,2,9,127398,93.28,4.95
2014,21720,2,10,32419,96,0
2014,21720,3,1,50161221,15.29,2.35
2014,21720,3,2,690333,24.39,2.46
2014,21720,3,3,15071,41.32,6.06
2014,21720,3,4,78463,55.14,3.58
2014,21720,3,5,34506,58.62,3.31
2014,21720,3,6,64490,74.46,3.57
2014,21720,3,7,8813,81.26,2.16
2014,21720,3,8,4875,80.65,2.76
2014,21740,1,1,46376871,16.3,1.69
2014,21740,1,2,244010894,25.33,2.24
2014,21740,1,3,74311134,33.47,2.4
2014,21740,1,4,220762845,38.78,2
2014,21740,1,5,732999274,42.1,2.16
2014,21740,1,6,2293480918,45.22,2.23
2014,21740,1,7,994704100,48.24,2.81
2014,21740,1,8,210242016,52.82,3.96
2014,21740,1,9,167898643,54.17,3.17
2014,21740,1,10,46927718,55.68,4.53
2014,21740,1,11,46136789,56.88,3.51
2014,21740,1,12,31453750,59.15,4.43
2014,21740,1,13,18758233,60.28,5.44
2014,21740,1,14,20458550,60.91,3.87
2014,21740,1,15,18087467,61.77,4.14
2014,21740,1,16,6130165,65.23,4.5
2014,21740,1,17,2266689,68.88,5.09
2014,21740,1,18,1336799,67.02,3.99
2014,21740,1,19,779261,70,0
2014,21740,1,21,275622,76,0
2014,21740,1,22,779261,70,0
2014,21740,2,1,45113672,16.43,1.75
2014,21740,2,2,158496425,25.59,1.92
2014,21740,2,3,99755530,30.75,2.93
2014,21740,2,4,77061485,37.56,1.14
2014,21740,2,5,659490323,42.18,2.57
2014,21740,2,6,2335483073,45.97,2.53
2014,21740,2,7,1072198966,49.79,2.99
2014,21740,2,8,248604522,54.01,4.48
2014,21740,2,9,123932793,57.36,3.16
2014,21740,2,10,55460683,58.91,3.66
2014,21740,2,11,20750326,62.19,3.59
2014,21740,2,12,14898941,62,4.78
2014,21740,2,13,11004772,65.49,3.48
2014,21740,2,14,19359456,65.49,4.81
2014,21740,2,15,14927642,66.31,4.25
2014,21740,2,16,7321325,69.56,2.91
2014,21740,2,17,1974781,72.32,1.87
2014,21740,2,18,2112294,70.47,5.1
2014,21740,2,19,2676941,72.75,5.79
2014,21740,2,20,2031250,69.26,3.9
2014,21740,2,21,148760,80,0
2014,21740,3,1,1616839028,13.61,1.71
2014,21740,3,2,2924827,21.74,2.73
2015,21720,1,1,24830446,22.47,4.21
2015,21720,1,2,215637191,34.66,3.02
2015,21720,1,3,93186794,45.3,3.44
2015,21720,1,4,100003370,55.11,3.86
2015,21720,1,5,32365571,63.32,4.44
2015,21720,1,6,9430445,71.92,3.76
2015,21720,1,7,3412248,79.12,4.08
2015,21720,1,8,495492,85.9,2.94
2015,21720,1,9,65885,86,0
2015,21720,2,1,28179749,21.86,5.14
2015,21720,2,2,202403008,34.69,2.96
2015,21720,2,3,92163462,44.99,3.36
2015,21720,2,4,98901695,55.28,3.88
2015,21720,2,5,32902380,64.6,4.23
2015,21720,2,6,10985143,74.24,4.04
2015,21720,2,7,3662677,82.58,5.01
2015,21720,2,8,483228,91.8,7.47
2015,21720,2,9,125779,95.79,4.12
2015,21720,2,10,27809,92,0
2015,21720,3,1,8024747,14.48,4.56
