year,species_code,length,sex,abund
2013,21720,8,0,29041
2013,21720,8,2,29041
2013,21720,9,0,376728
2013,21720,9,3,376728
2013,21720,10,0,2021179
2013,21720,10,1,21683
2013,21720,10,3,1999496
2013,21720,11,0,4698394
2013,21720,11,1,55263
2013,21720,11,2,60263
2013,21720,11,3,4582870
2013,21720,12,0,5931058
2013,21720,12,1,154817
2013,21720,12,2,67159
2013,21720,12,3,5709082
2013,21720,13,0,8385179
2013,21720,13,1,877726
2013,21720,13,2,322410
2013,21720,13,3,7185045
2013,21720,14,0,8980274
2013,21720,14,1,694065
2013,21720,14,2,1001771
2013,21720,14,3,7284438
2013,21720,15,0,11525965
2013,21720,15,1,2557766
2013,21720,15,2,1507299
2013,21720,15,3,7460901
2013,21720,16,0,9851874
2013,21720,16,1,3596944
2013,21720,16,2,2776973
2013,21720,16,3,3477957
2013,21720,17,0,7308476
2013,21720,17,1,4361681
2013,21720,17,2,2216727
2013,21720,17,3,730069
2013,21720,18,0,5120862
2013,21720,18,1,2387962
2013,21720,18,2,2177355
2013,21720,18,3,555545
2013,21720,19,0,1451117
2013,21720,19,1,856611
2013,21720,19,2,594507
2013,21720,20,0,866443
2013,21720,20,1,262146
2013,21720,20,2,604298
2013,21720,21,0,2571321
2013,21720,21,1,1799306
2013,21720,21,2,772015
2013,21720,22,0,3481067
2013,21720,22,1,2122449
2013,21720,22,2,1358619
2013,21720,23,0,10856015
2013,21720,23,1,6954129
2013,21720,23,2,3871361
2013,21720,23,3,30524
2013,21720,24,0,16167583
2013,21720,24,1,7507091
2013,21720,24,2,8660490
2013,21720,25,0,26480324
2013,21720,25,1,14413160
2013,21720,25,2,12067164
2013,21720,26,0,31848290
2013,21720,26,1,14305216
2013,21720,26,2,17543074
2013,21720,27,0,39817497
2013,21720,27,1,23444023
2013,21720,27,2,16373473
2013,21720,28,0,43627458
2013,21720,28,1,21578735
2013,21720,28,2,22048724
2013,21720,29,0,33999546
2013,21720,29,1,15571798
2013,21720,29,2,18427745
2013,21720,30,0,36804785
2013,21720,30,1,20670872
2013,21720,30,2,16133915
2013,21720,31,0,26357316
2013,21720,31,1,12674292
2013,21720,31,2,13683025
2013,21720,32,0,26615675
2013,21720,32,1,13570419
2013,21720,32,2,13045257
2013,21720,33,0,16810934
2013,21720,33,1,7117937
2013,21720,33,2,9692996
2013,21720,34,0,12559950
2013,21720,34,1,5617471
2013,21720,34,2,6942478
2013,21720,35,0,9716903
2013,21720,35,1,4836519
2013,21720,35,2,4880386
2013,21720,36,0,7273900
2013,21720,36,1,4107225
2013,21720,36,2,3166674
2013,21720,37,0,7048608
2013,21720,37,1,3409592
2013,21720,37,2,3639015
2013,21720,38,0,5852871
2013,21720,38,1,3253052
2013,21720,38,2,2599820
2013,21720,39,0,5057654
2013,21720,39,1,2477505
2013,21720,39,2,2580146
2013,21720,40,0,7477523
2013,21720,40,1,3776300
2013,21720,40,2,3701224
2013,21720,41,0,6177681
2013,21720,41,1,3123653
2013,21720,41,2,3054027
2013,21720,42,0,9423763
2013,21720,42,1,4323402
2013,21720,42,2,5100360
2013,21720,43,0,12048088
2013,21720,43,1,6643783
2013,21720,43,2,5373397
2013,21720,43,3,30909
2013,21720,44,0,14765749
2013,21720,44,1,6551388
2013,21720,44,2,8182884
2013,21720,44,3,31477
2013,21720,45,0,17691474
2013,21720,45,1,9827042
2013,21720,45,2,7832956
2013,21720,45,3,31477
2013,21720,46,0,21480501
2013,21720,46,1,11461702
2013,21720,46,2,10018797
2013,21720,47,0,16725711
2013,21720,47,1,8183834
2013,21720,47,2,8541875
2013,21720,48,0,15861761
2013,21720,48,1,8116191
2013,21720,48,2,7745572
2013,21720,49,0,14848120
2013,21720,49,1,7738563
2013,21720,49,2,7109556
2013,21720,50,0,13389850
2013,21720,50,1,6700754
2013,21720,50,2,6689093
2013,21720,51,0,10907274
2013,21720,51,1,4961181
2013,21720,51,2,5946093
2013,21720,52,0,10561133
2013,21720,52,1,5307800
2013,21720,52,2,5253333
