year,species_code,sex,bias
2013,21720,0,-9.22292725716725e-19
2013,21720,1,7.109283958151873e-7
2013,21720,2,-1.3433384060191278e-19
2013,21720,3,-2.9544509200229996e-18
2013,21720,4,5.886698763641376e-19
2013,21720,12,-9.8955236224164e-7
2013,21740,0,7.754374873876306e-19
2013,21740,1,3.697903838298774e-20
2013,21740,2,1.598374064251223e-19
2013,21740,3,7.218193811384472e-19
2013,21740,4,-4.01768902706396e-19
2013,21740,12,-2.80401557935832e-7
2014,21720,0,1.6277605197127803e-19
2014,21720,1,-3.724553345479615e-19
2014,21720,2,1.992668278551655e-19
2014,21720,3,3.2022685594482576e-18
2014,21720,4,-1.1236210821168658e-18
2014,21720,12,-6.09376061673149e-7
2014,21740,0,-1.0086018014590478e-18
2014,21740,1,-1.1105543086223049e-20
2014,21740,2,-3.5635567704617105e-19
2014,21740,3,-1.807003620809174e-18
2014,21740,4,-1.1021667763225245e-18
2014,21740,12,-5.957967898529416e-8
2015,21720,0,1.7070417183814326e-19
2015,21720,1,6.781469658782909e-7
2015,21720,2,2.9938190432582737e-6
2015,21720,3,-5.762333768580366e-19
2015,21720,4,-1.039147228482616e-18
2015,21720,12,3.4597610666923225e-7
2015,21740,0,8.916280872881214e-19
2015,21740,1,-5.552799223926794e-19
2015,21740,2,2.3842236986549814e-19
2015,21740,3,-7.837878205259793e-19
2015,21740,4,2.3346059448917175e-19
2015,21740,12,-5.336565805300696e-8
2016,21720,0,7.304812137121086e-19
2016,21720,1,-2.350206538528029e-19
2016,21720,2,-2.2677895441155136e-19
2016,21720,3,-1.4162390878091902e-18
2016,21720,4,3.7882879855727066e-19
2016,21720,12,-1.171876664778393e-6
2016,21740,0,1.3186916633327898e-7
2016,21740,1,-1.3187651424943876e-20
2016,21740,2,2.868555922337762e-7
2016,21740,3,-2.2055769908847975e-18
2016,21740,4,1.318691664112042e-7
2016,21740,12,-1.5787113699085762e-7
2017,21720,0,-5.675857296992729e-19
2017,21720,1,-4.1062599521146406e-19
2017,21720,2,-5.78647226888331e-21
2017,21720,3,0.002047317294837797
2017,21720,4,3.3100574477920225e-19
2017,21720,12,-7.495403138156615e-7
2017,21740,0,-5.794652698699896e-19
2017,21740,1,-6.996231518798289e-19
2017,21740,2,8.855023602754332e-20
2017,21740,3,-2.439454888092385e-20
2017,21740,4,9.41098185080962e-19
2017,21740,12,4.5105597743442645e-8
2018,21720,0,3.767602549387128e-19
2018,21720,1,-5.780064828640254e-19
2018,21720,2,6.911788849595091e-19
2018,21720,3,5.963111948670274e-19
2018,21720,4,-3.4031901525239444e-19
2018,21720,12,1.6487792800915818e-7
2018,21740,0,-6.043759029282092e-19
2018,21740,1,1.1576116945808772e-18
2018,21740,2,-1.3620788046524004e-18
2018,21740,3,-4.174178364069192e-18
2018,21740,4,8.467943464240878e-20
2018,21740,12,-1.66590016310239e-7
2019,21720,0,8.2641580487857865e-19
2019,21720,1,-4.0561916570634166e-19
2019,21720,2,6.459076772254069e-20
2019,21720,3,6.539366027559191e-4
2019,21720,4,1.9723252286704388e-19
2019,21720,12,-2.2281601861214392e-7
2019,21740,0,6.933467268676991e-8
2019,21740,1,-5.688565714020547e-19
2019,21740,2,-6.152025963573051e-19
2019,21740,3,8.068608555254132e-6
2019,21740,4,6.933467262860788e-8
2019,21740,12,-9.019354829009047e-7
2021,21720,0,9.20256067277138e-19
2021,21720,1,1.2693581487642385e-6
2021,21720,2,5.320414784568043e-19
2021,21720,3,1.5097373815780058e-4
2021,21720,4,-2.0341948527458614e-19
2021,21720,12,-3.5665489568115894e-7
2021,21740,0,-1.9052439717692619e-19
2021,21740,1,1.718110700753239e-19
2021,21740,2,2.895134062035568e-19
2021,21740,3,9.525337397162651e-7
2021,21740,4,-6.604536350371887e-19
2021,21740,12,-6.381301895547686e-8
2022,21720,0,4.511247158287458e-19
2022,21720,1,-2.981555974335137e-19
2022,21720,2,3.019279503532442e-19
2022,21720,3,-5.567524669520158e-19
2022,21720,4,-2.0476392515010887e-19
2022,21720,12,-4.0635419709139397e-7
2022,21740,0,3.6177850880967125e-19
2022,21740,1,-4.591677111085998e-20
2022,21740,2,-2.361871580459817e-20
2022,21740,3,-2.1172059090480822e-19
2022,21740,4,-2.997422929544267e-19
2022,21740,12,-1.4571943959476016e-7
2023,21720,0,5.953529353711438e-19
2023,21720,1,1.445111863054728e-19
2023,21720,2,6.886896452777822e-20
2023,21720,3,2.085140921730191e-5
2023,21720,4,-1.1471735107864303e-19
2023,21720,12,-8.067620739102206e-7
2023,21740,0,-3.1196694021235466e-19
2023,21740,1,-2.8490648506452106e-19
2023,21740,2,-5.292461156314811e-19
2023,21740,3,1.7785085637117986e-18
2023,21740,4,6.485213645880634e-19
2023,21740,12,-3.782567769398418e-7
2024,21720,0,7.003060971258412e-19
2024,21720,1,-5.1077969014872655e-19
2024,21720,2,-4.3255149173119606e-19
2024,21720,3,3.736327486719277e-18
2024,21720,4,3.471106445074765e-20
2024,21720,12,-1.7536888589302165e-6
2024,21740,0,7.277223063981946e-20
2024,21740,1,-6.131425592382742e-20
2024,21740,2,4.623496764397319e-20
2024,21740,3,-4.2891630866589633e-19
2024,21740,4,-7.318122654863653e-19
2024,21740,12,-2.8422642925534512e-8
