year,species_code,sex,sex_desc,iss,nss,nhls
2013,21720,0,total_pre,65.83914179766597,1348,127
2013,21720,1,male,53.04627125474723,642,100
2013,21720,2,female,53.206527273166415,677,115
2013,21720,4,total_post,67.60602369697855,1348,127
2013,21720,12,female_male,119.98740589091594,1319,127
2014,21720,0,total_pre,185.42802658435335,1365,119
2014,21720,1,male,144.74521138764734,651,104
2014,21720,2,female,143.95379984248072,714,110
2014,21720,4,total_post,172.58507142214427,1365,119
2014,21720,12,female_male,316.6485959157377,1365,119
2014,21740,0,total_pre,104.00894888612676,1762,316
2014,21740,1,male,79.35591855828002,689,285
2014,21740,2,female,72.24951860284803,752,301
2014,21740,4,total_post,112.13851646343626,1762,316
2014,21740,12,female_male,172.19519270002561,1441,314
2015,21720,0,total_pre,70.29106328682332,1800,231
2015,21720,1,male,62.53594137280139,914,218
2015,21720,2,female,69.00717170956108,877,215
2015,21720,4,total_post,71.44529592133827,1800,231
2015,21720,12,female_male,151.01128363888427,1791,231
2015,21740,0,total_pre,232.84280136229557,2029,354
2015,21740,1,male,175.80680583345185,858,323
2015,21740,2,female,157.53618501880837,921,337
2015,21740,4,total_post,226.10557223781032,2029,354
2015,21740,12,female_male,358.8296132676464,1779,353
2016,21720,0,total_pre,98.051005286769,1525,253
2016,21720,1,male,92.23863930892672,738,231
2016,21720,2,female,99.72382384978197,776,227
2016,21720,4,total_post,109.01361036040096,1525,253
2016,21720,12,female_male,215.07129677010838,1514,253
2016,21740,0,total_pre,131.78732165002668,1496,342
2016,21740,1,male,103.11391797867437,724,310
2016,21740,2,female,109.34685011185925,695,301
2016,21740,4,total_post,128.42951470335444,1496,342
2016,21740,12,female_male,229.28925945330477,1419,342
2017,21720,0,total_pre,83.82472992394798,1259,341
2017,21720,1,male,67.717126423631,610,319
2017,21720,2,female,70.1774864802128,635,325
2017,21720,4,total_post,78.24952181355607,1259,341
2017,21720,12,female_male,153.47448919612458,1245,341
2017,21740,0,total_pre,221.36629091521135,1494,339
2017,21740,1,male,155.19455388381442,712,316
2017,21740,2,female,157.2511473512769,680,319
2017,21740,4,total_post,210.55830135997905,1494,339
2017,21740,12,female_male,335.96757118517047,1392,339
2018,21720,0,total_pre,165.31426202773991,1489,403
2018,21720,1,male,130.52980460906574,702,359
2018,21720,2,female,117.32751136958748,784,382
2018,21720,4,total_post,157.6358272457041,1489,403
2018,21720,12,female_male,272.4388765741825,1486,403
2018,21740,0,total_pre,203.0594975003074,1465,356
2018,21740,1,male,138.80849624029884,703,322
2018,21740,2,female,134.89263322046855,678,319
2018,21740,4,total_post,189.73240098154957,1465,356
2018,21740,12,female_male,296.3032912231454,1381,353
2019,21720,0,total_pre,129.77895040262013,1401,363
2019,21720,1,male,86.61193970209632,676,331
2019,21720,2,female,82.59489623990022,720,337
2019,21720,4,total_post,94.68015276017209,1401,363
2019,21720,12,female_male,187.21035687216116,1396,363
2019,21740,0,total_pre,48.46899831222209,1474,315
2019,21740,1,male,32.734413734795005,720,292
2019,21740,2,female,34.92886523262845,679,279
2019,21740,4,total_post,49.59164509261397,1474,315
2019,21740,12,female_male,78.23151253613493,1399,315
2021,21720,0,total_pre,137.98328618515808,1281,358
2021,21720,1,male,127.50843500868994,605,319
2021,21720,2,female,111.01794504071262,676,338
2021,21720,4,total_post,145.57283066957933,1281,358
2021,21720,12,female_male,264.5981999842343,1281,358
2021,21740,0,total_pre,228.19220152059728,1496,349
2021,21740,1,male,140.67419927234997,702,312
2021,21740,2,female,121.91551515116988,747,311
2021,21740,4,total_post,187.51832753614497,1496,349
2021,21740,12,female_male,279.01118360536776,1449,348
2022,21720,0,total_pre,92.69257068563239,1375,359
2022,21720,1,male,74.29913361234763,671,331
2022,21720,2,female,83.58391290139602,692,341
2022,21720,4,total_post,88.85800079095735,1375,359
2022,21720,12,female_male,173.04651714226398,1363,359
2022,21740,0,total_pre,232.6372825785721,1515,335
2022,21740,1,male,142.25733612621724,664,299
2022,21740,2,female,152.23017108348205,745,316
2022,21740,4,total_post,216.19814048460668,1515,335
2022,21740,12,female_male,316.2106647042463,1409,331
2023,21720,0,total_pre,125.23398815036016,1337,344
2023,21720,1,male,98.43986459693538,666,317
2023,21720,2,female,82.33048791788602,647,311
2023,21720,4,total_post,110.00292920376137,1337,344
2023,21720,12,female_male,190.16512437059484,1313,344
2023,21740,0,total_pre,312.86981743674534,1552,333
2023,21740,1,male,168.37275467821965,622,292
2023,21740,2,female,186.17678456413873,766,310
2023,21740,4,total_post,300.05748614649434,1552,333
2023,21740,12,female_male,379.78319912361,1388,333
