year,species_code,sex,sex_desc,iss,nss,nhls
2013,21720,0,total_pre,858.8392569589123,19902,354
2013,21720,1,male,608.9281876421331,9385,344
2013,21720,2,female,682.818166568521,9277,344
2013,21720,4,total_post,858.8392565074861,19902,354
2013,21720,12,female_male,1290.0032294580872,18662,353
2013,21740,0,total_pre,2618.2423100964284,247864,367
2013,21740,1,male,2038.9074965618859,108749,314
2013,21740,2,female,2001.8015227591782,107902,326
2013,21740,4,total_post,2618.2423090646407,247864,367
2013,21740,12,female_male,3983.7468287257393,216651,338
2014,21720,0,total_pre,1088.6686831318889,29204,373
2014,21720,1,male,817.5448838597622,14009,366
2014,21720,2,female,808.9234955854794,13112,367
2014,21720,4,total_post,1088.6686912174719,29204,373
2014,21720,12,female_male,1629.8874921193917,27121,372
2014,21740,0,total_pre,2088.654299497218,314054,368
2014,21740,1,male,1925.3154900982113,131797,342
2014,21740,2,female,2077.7780756251123,129980,348
2014,21740,4,total_post,2088.6543045998724,314054,368
2014,21740,12,female_male,3878.2225535847697,261777,356
2015,21720,0,total_pre,2078.765344878283,19880,354
2015,21720,1,male,1385.8112191302798,9850,347
2015,21720,2,female,1442.9526180581427,9626,344
2015,21720,4,total_post,2078.7653256685885,19880,354
2015,21720,12,female_male,2837.3164158436616,19476,352
2015,21740,0,total_pre,3358.4746675383894,288941,375
2015,21740,1,male,2604.251114664797,134270,371
2015,21740,2,female,2703.078012105747,136385,372
2015,21740,4,total_post,3358.474676374628,288941,375
2015,21740,12,female_male,5249.51359074004,270655,373
2016,21720,0,total_pre,3050.4513189027416,19180,376
2016,21720,1,male,1953.6910239369058,9496,369
2016,21720,2,female,1829.6423003485816,9382,373
2016,21720,4,total_post,3050.4513812780338,19180,376
2016,21720,12,female_male,3753.638920894076,18878,376
2016,21740,0,total_pre,2272.71229951213,151089,372
2016,21740,1,male,1880.2720301801705,75556,370
2016,21740,2,female,1713.2689284525907,67831,369
2016,21740,4,total_post,2272.712300436474,151089,372
2016,21740,12,female_male,3573.6919971241564,143387,372
2017,21720,0,total_pre,3966.8959119842543,15020,481
2017,21720,1,male,2427.047647820426,7487,464
2017,21720,2,female,2333.6676439708276,7436,468
2017,21720,4,total_post,3966.8960604499475,15020,481
2017,21720,12,female_male,4683.765688072251,14923,480
2017,21740,0,total_pre,4023.9344183415124,223956,499
2017,21740,1,male,2831.486806440011,114681,493
2017,21740,2,female,3001.215174194283,94856,497
2017,21740,4,total_post,4023.934430101876,223956,499
2017,21740,12,female_male,5624.295217440949,209537,498
2018,21720,0,total_pre,2994.3721924932097,8806,364
2018,21720,1,male,1695.6201817116787,4379,339
2018,21720,2,female,1769.039209633737,4351,355
2018,21720,4,total_post,2994.3722250587407,8806,364
2018,21720,12,female_male,3468.607061174557,8730,362
2018,21740,0,total_pre,1261.7493348289975,100983,370
2018,21740,1,male,995.3758160397114,45619,360
2018,21740,2,female,1014.9575389275533,39109,366
2018,21740,4,total_post,1261.7493349241583,100983,370
2018,21740,12,female_male,1973.8244630750512,84728,368
2019,21720,0,total_pre,1772.1408090599361,23408,479
2019,21720,1,male,1089.1080546524784,11821,463
2019,21720,2,female,1463.6470445040322,11437,467
2019,21720,4,total_post,1772.1408194370977,23408,479
2019,21720,12,female_male,2491.59740432968,23258,479
2019,21740,0,total_pre,3273.9989233916667,346352,506
2019,21740,1,male,3765.4603982236717,142499,486
2019,21740,2,female,3859.7049709075714,142827,494
2019,21740,4,total_post,3273.9989233741453,346352,506
2019,21740,12,female_male,7467.040673445366,285326,502
2021,21720,0,total_pre,3664.4317981783247,17397,476
2021,21720,1,male,2381.2220294013523,8815,452
2021,21720,2,female,2362.715685438669,8071,461
2021,21720,4,total_post,3664.431612588919,17397,476
2021,21720,12,female_male,4738.633837964101,16886,475
2021,21740,0,total_pre,2306.243205535301,124670,508
2021,21740,1,male,1625.0797529583388,56754,489
2021,21740,2,female,1889.4189014097308,53748,494
2021,21740,4,total_post,2306.243206374079,124670,508
2021,21740,12,female_male,3476.7287702203735,110502,502
2022,21720,0,total_pre,2911.857469152669,16677,481
2022,21720,1,male,2024.2051894715025,8287,461
2022,21720,2,female,1962.1475500774334,7888,461
2022,21720,4,total_post,2911.8574379205434,16677,481
2022,21720,12,female_male,3985.894671634852,16175,478
2022,21740,0,total_pre,2134.590843568067,242491,510
2022,21740,1,male,1804.8106197039938,117747,470
2022,21740,2,female,1571.7824223542111,104698,483
2022,21740,4,total_post,2134.590843371778,242491,510
2022,21740,12,female_male,3381.5747750272917,222445,488
2023,21720,0,total_pre,2277.4655236792664,19943,438
2023,21720,1,male,1603.0554794959876,9641,420
2023,21720,2,female,1660.8347858458603,9462,422
2023,21720,4,total_post,2277.4655110987583,19943,438
2023,21720,12,female_male,3271.4793690715615,19103,436
2023,21740,0,total_pre,1932.878231920174,153681,478
2023,21740,1,male,1599.00959898017,63502,445
2023,21740,2,female,1502.1629777032429,69416,449
2023,21740,4,total_post,1932.8782301386937,153681,478
2023,21740,12,female_male,3044.7225272097303,132918,456
2024,21720,0,total_pre,2554.835829673547,12950,335
2024,21720,1,male,1723.5054781123674,6440,324
2024,21720,2,female,1716.3541524043649,6114,324
2024,21720,4,total_post,2554.835713698892,12950,335
2024,21720,12,female_male,3443.596500536283,12554,334
2024,21740,0,total_pre,1326.0954135918528,228762,348
2024,21740,1,male,940.2249512691258,104246,337
2024,21740,2,female,950.7984847462872,97563,341
2024,21740,4,total_post,1326.0954143714139,228762,348
2024,21740,12,female_male,1791.7732778701654,201809,346
