sim,year,species_code,sex,rss,sex_desc
1,2013,21720,0,32.7648155231918,total_pre
1,2013,21720,1,34.011992156353394,male
1,2013,21720,2,23.960343406452836,female
1,2013,21720,4,26.99332639521281,total_post
2,2013,21720,0,264.66437385203113,total_pre
2,2013,21720,1,350.30528711260206,male
2,2013,21720,2,111.12442053854095,female
2,2013,21720,4,228.5534691925474,total_post
3,2013,21720,0,52.64122561306103,total_pre
3,2013,21720,1,54.29093701115955,male
3,2013,21720,2,47.03579447981135,female
3,2013,21720,4,55.309607213566835,total_post
4,2013,21720,0,27.1866534862244,total_pre
4,2013,21720,1,26.749634740881685,male
4,2013,21720,2,30.0984830229523,female
4,2013,21720,4,34.26870838060227,total_post
5,2013,21720,0,95.59441988270258,total_pre
5,2013,21720,1,79.55960200322217,male
5,2013,21720,2,69.83666321402147,female
5,2013,21720,4,103.555141533037,total_post
1,2013,21720,12,63.8988834466606,female_male
2,2013,21720,12,397.0254549330019,female_male
3,2013,21720,12,115.78812100227587,female_male
4,2013,21720,12,64.3044088309224,female_male
5,2013,21720,12,173.57144477454966,female_male
1,2014,21720,0,155.58253026108355,total_pre
1,2014,21720,1,50.94241017314989,male
1,2014,21720,2,198.09292594156233,female
1,2014,21720,4,110.1998744339224,total_post
2,2014,21720,0,468.33434830790384,total_pre
2,2014,21720,1,256.73859034042806,male
2,2014,21720,2,1361.8972946856536,female
2,2014,21720,4,486.7151236675704,total_post
3,2014,21720,0,91.5025881636481,total_pre
3,2014,21720,1,173.1961204756768,male
3,2014,21720,2,68.50483672389548,female
3,2014,21720,4,85.62260404072845,total_post
4,2014,21720,0,332.9762906216757,total_pre
4,2014,21720,1,417.07421570799676,male
4,2014,21720,2,140.14147555168216,female
4,2014,21720,4,286.1579371232994,total_post
5,2014,21720,0,184.82083984829734,total_pre
5,2014,21720,1,174.59401051993834,male
5,2014,21720,2,427.16606507618354,female
5,2014,21720,4,209.89557473264392,total_post
1,2014,21720,12,182.57877048895872,female_male
2,2014,21720,12,848.4606664689547,female_male
3,2014,21720,12,222.72260431368977,female_male
4,2014,21720,12,455.85490561643905,female_male
5,2014,21720,12,561.460278892163,female_male
1,2014,21740,0,97.51252693263865,total_pre
1,2014,21740,1,220.97922232633033,male
1,2014,21740,2,39.55223940105906,female
1,2014,21740,4,150.54788101180694,total_post
2,2014,21740,0,465.3660245733142,total_pre
2,2014,21740,1,103.2411961965328,male
2,2014,21740,2,80.70918129098793,female
2,2014,21740,4,121.9834684333207,total_post
3,2014,21740,0,104.1778840556247,total_pre
3,2014,21740,1,100.1918770330024,male
3,2014,21740,2,42.291096696255444,female
3,2014,21740,4,98.77269936803123,total_post
4,2014,21740,0,115.34787331216423,total_pre
4,2014,21740,1,43.565603004537344,male
4,2014,21740,2,80.89670618696191,female
4,2014,21740,4,85.2682948230643,total_post
5,2014,21740,0,138.44669910451498,total_pre
5,2014,21740,1,63.618420425530616,male
5,2014,21740,2,42.58929453567919,female
5,2014,21740,4,77.40994838623025,total_post
1,2014,21740,12,161.3631635199823,female_male
2,2014,21740,12,213.75710151901666,female_male
3,2014,21740,12,140.26166501380015,female_male
4,2014,21740,12,127.57608207382374,female_male
5,2014,21740,12,117.14318122840231,female_male
1,2015,21720,0,102.06131465375911,total_pre
1,2015,21720,1,60.74680512349956,male
1,2015,21720,2,75.0143971615956,female
1,2015,21720,4,73.0234103946415,total_post
2,2015,21720,0,61.481180941467265,total_pre
2,2015,21720,1,102.79370369050424,male
2,2015,21720,2,303.6218599098036,female
2,2015,21720,4,191.2526111792688,total_post
3,2015,21720,0,68.76934957714485,total_pre
3,2015,21720,1,36.96905133116531,male
3,2015,21720,2,46.46455470404403,female
3,2015,21720,4,47.952800872316715,total_post
4,2015,21720,0,79.51420682771224,total_pre
4,2015,21720,1,43.32494086476367,male
4,2015,21720,2,47.896459973138974,female
4,2015,21720,4,49.71219406877193,total_post
5,2015,21720,0,106.71771711708715,total_pre
5,2015,21720,1,53.59570220650652,male
5,2015,21720,2,72.80983461169276,female
5,2015,21720,4,63.24425729376101,total_post
1,2015,21720,12,147.2619740666022,female_male
2,2015,21720,12,358.0386904887253,female_male
3,2015,21720,12,94.82321164470541,female_male
4,2015,21720,12,105.69649224003153,female_male
5,2015,21720,12,139.54063613345352,female_male
1,2015,21740,0,162.00533407482402,total_pre
1,2015,21740,1,111.53711938635631,male
1,2015,21740,2,206.10739956518506,female
1,2015,21740,4,174.71259494533328,total_post
2,2015,21740,0,146.81628262197896,total_pre
2,2015,21740,1,156.73202740580564,male
2,2015,21740,2,87.3632249660362,female
2,2015,21740,4,133.88769559475315,total_post
3,2015,21740,0,205.28377217331158,total_pre
3,2015,21740,1,164.28452827597454,male
3,2015,21740,2,182.57837165386533,female
3,2015,21740,4,203.74233091989487,total_post
4,2015,21740,0,154.22914556427864,total_pre
4,2015,21740,1,148.54910807442772,male
4,2015,21740,2,272.0063033964445,female
4,2015,21740,4,305.4222163881851,total_post
5,2015,21740,0,211.47805826482497,total_pre
5,2015,21740,1,166.60848645119108,male
5,2015,21740,2,670.8576002685272,female
5,2015,21740,4,479.85075700136485,total_post
1,2015,21740,12,308.4364422458098,female_male
2,2015,21740,12,245.52025095394694,female_male
3,2015,21740,12,370.84058839346756,female_male
4,2015,21740,12,407.61147207578176,female_male
5,2015,21740,12,568.2026151467168,female_male
1,2016,21720,0,102.2460332691802,total_pre
1,2016,21720,1,99.4500331479803,male
1,2016,21720,2,110.69393058281149,female
1,2016,21720,4,117.67450042995794,total_post
2,2016,21720,0,110.19208680620885,total_pre
2,2016,21720,1,191.89620121457233,male
2,2016,21720,2,84.73772245706971,female
2,2016,21720,4,121.65240926580174,total_post
3,2016,21720,0,70.33308321918133,total_pre
3,2016,21720,1,77.22995265059899,male
3,2016,21720,2,108.19800677848319,female
3,2016,21720,4,97.18073381610971,total_post
4,2016,21720,0,85.09702383540623,total_pre
4,2016,21720,1,61.39852410878596,male
4,2016,21720,2,134.87940410525255,female
4,2016,21720,4,90.45636865807539,total_post
5,2016,21720,0,103.55100032826664,total_pre
5,2016,21720,1,42.85057109133241,male
5,2016,21720,2,139.11871317665754,female
