sim,year,species_code,sex,rss,sex_desc
1,2013,21720,0,586.5983391726982,total_pre
1,2013,21720,1,678.3330606321808,male
1,2013,21720,2,635.4295914905018,female
1,2013,21720,4,586.59839925671,total_post
2,2013,21720,0,1736.5704431094339,total_pre
2,2013,21720,1,1250.9510451319713,male
2,2013,21720,2,1017.5421242896427,female
2,2013,21720,4,1736.5699919021076,total_post
3,2013,21720,0,2009.468109143419,total_pre
3,2013,21720,1,1658.8058837557612,male
3,2013,21720,2,1540.8536060696822,female
3,2013,21720,4,2009.467764686796,total_post
4,2013,21720,0,442.61464536541234,total_pre
4,2013,21720,1,333.86779640049144,male
4,2013,21720,2,449.4538336103165,female
4,2013,21720,4,442.6145447661118,total_post
5,2013,21720,0,601.0622822567473,total_pre
5,2013,21720,1,301.84720419867364,male
5,2013,21720,2,609.8655201018114,female
5,2013,21720,4,601.0622590617728,total_post
1,2013,21720,12,1329.117430685601,female_male
2,2013,21720,12,2304.023011031323,female_male
3,2013,21720,12,3236.4784000003833,female_male
4,2013,21720,12,771.4869371900323,female_male
5,2013,21720,12,818.1732651129748,female_male
1,2013,21740,0,5024.108228805722,total_pre
1,2013,21740,1,4136.009025678085,male
1,2013,21740,2,3503.366223357884,female
1,2013,21740,4,5024.108348967105,total_post
2,2013,21740,0,6694.106091509774,total_pre
2,2013,21740,1,3765.547022646312,male
2,2013,21740,2,3452.0410358004783,female
2,2013,21740,4,6694.105986705136,total_post
3,2013,21740,0,6343.2992755508685,total_pre
3,2013,21740,1,3591.3197908421257,male
3,2013,21740,2,4032.012156732252,female
3,2013,21740,4,6343.2988432893035,total_post
4,2013,21740,0,2412.941480139213,total_pre
4,2013,21740,1,1561.7619439048628,male
4,2013,21740,2,2046.494121189025,female
4,2013,21740,4,2412.941449578917,total_post
5,2013,21740,0,1441.217455923615,total_pre
5,2013,21740,1,1189.1135274344128,male
5,2013,21740,2,1112.9020579278247,female
5,2013,21740,4,1441.2174152785035,total_post
1,2013,21740,12,8071.987030162951,female_male
2,2013,21740,12,7432.22029451776,female_male
3,2013,21740,12,8057.009521022823,female_male
4,2013,21740,12,3630.6417491308603,female_male
5,2013,21740,12,2348.1119025798694,female_male
1,2014,21720,0,607.9739940607675,total_pre
1,2014,21720,1,447.0855824006769,male
1,2014,21720,2,417.1483364114858,female
1,2014,21720,4,607.9739763465062,total_post
2,2014,21720,0,837.0245401348477,total_pre
2,2014,21720,1,755.8825914096462,male
2,2014,21720,2,803.7373688404116,female
2,2014,21720,4,837.0247021147371,total_post
3,2014,21720,0,1226.2215039369166,total_pre
3,2014,21720,1,1087.6109096814641,male
3,2014,21720,2,892.4352891498604,female
3,2014,21720,4,1226.2215551858849,total_post
4,2014,21720,0,2019.5015448549411,total_pre
