year,species_code,sex,bias
2013,21720,0,1.6263032587282567e-18
2013,21720,1,8.854317741964952e-19
2013,21720,2,-3.892285799222961e-18
2013,21720,3,-6.4848842441789234e-18
2013,21720,4,6.670553866217066e-18
2013,21720,12,-1.696091231290065e-6
2014,21720,0,1.6974540262976179e-18
2014,21720,1,-4.624423432920811e-18
2014,21720,2,-4.304282624767453e-18
2014,21720,3,2.3242584072658e-18
2014,21720,4,7.227901545510396e-18
2014,21720,12,-7.367998502163379e-7
2014,21740,0,-1.116235418490758e-18
2014,21740,1,-3.4333068795374305e-19
2014,21740,2,-2.6961462060126884e-18
2014,21740,3,1.22514845490862e-17
2014,21740,4,3.0369981308826915e-19
2014,21740,12,-1.7729278344032728e-6
2015,21720,0,4.708825560376106e-18
2015,21720,1,9.787936279383027e-19
2015,21720,2,2.7850443305721395e-18
2015,21720,3,1.2352160465102711e-17
2015,21720,4,4.293440603042598e-18
2015,21720,12,-1.092257120934501e-6
2015,21740,0,3.057708269783524e-18
2015,21740,1,-2.5343225781848665e-19
2015,21740,2,3.134200227566649e-18
2015,21740,3,-1.5781433854415121e-18
2015,21740,4,-3.5172034762178567e-19
2015,21740,12,-1.4762118089374925e-6
2016,21720,0,-4.700016417724662e-18
2016,21720,1,4.694595406862234e-18
2016,21720,2,-1.2641797331180981e-17
2016,21720,3,-4.08899105051676e-18
2016,21720,4,1.4501204056993622e-18
2016,21720,12,3.475545589173845e-18
2016,21740,0,5.149960319306146e-20
2016,21740,1,-5.451988067355679e-18
2016,21740,2,4.745469508801938e-18
2016,21740,3,9.257881883945668e-18
2016,21740,4,-1.3615772282797127e-18
2016,21740,12,-1.6137412790053128e-6
2017,21720,0,-1.5937771935536915e-17
2017,21720,1,7.709882115452476e-18
2017,21720,2,-8.131516293641283e-19
2017,21720,3,5.782411586589357e-19
2017,21720,4,3.0116727013486233e-21
2017,21720,12,-4.6257895475247015e-6
2017,21740,0,4.135912405040292e-18
2017,21740,1,2.9083723276923656e-18
2017,21740,2,-4.387404791324675e-18
2017,21740,3,4.611247364852411e-18
2017,21740,4,-4.938700337167427e-18
2017,21740,12,-7.703764633589913e-6
2018,21720,0,-7.589415207398531e-19
2018,21720,1,7.250602028496811e-18
2018,21720,2,-2.770136550700464e-18
2018,21720,3,-7.93016446160826e-18
2018,21720,4,-3.06287113727155e-19
2018,21720,12,-1.2474757160273354e-5
2018,21740,0,1.7180434425539532e-18
2018,21740,1,2.8356056818851654e-18
2018,21740,2,4.87890977618477e-19
2018,21740,3,2.15221660420126e-18
2018,21740,4,5.127025273349722e-18
2018,21740,12,-4.329319765599451e-9
2019,21720,0,7.128629284092192e-18
2019,21720,1,3.3098282987821372e-18
2019,21720,2,1.3617579286417935e-17
2019,21720,3,-3.8163916471489756e-17
2019,21720,4,1.431146867680866e-17
2019,21720,12,-4.055513190053952e-6
2019,21740,0,6.884683795282953e-18
2019,21740,1,-7.300294628069063e-18
2019,21740,2,5.276450572762788e-18
2019,21740,3,3.900971737082078e-19
2019,21740,4,-9.03501810404587e-19
2019,21740,12,-9.983695004970687e-19
2021,21720,0,1.855190384030752e-18
2021,21720,1,-4.94516657561444e-18
2021,21720,2,-3.782660912893871e-18
2021,21720,3,1.5178830414797062e-17
2021,21720,4,4.1561083278611006e-18
2021,21720,12,-2.255742853310119e-18
2021,21740,0,4.801466763864377e-18
2021,21740,1,1.080032164129791e-18
2021,21740,2,6.195440985631454e-20
2021,21740,3,4.3503612170980865e-18
2021,21740,4,-1.146156582341819e-18
2021,21740,12,-5.122022545313705e-6
2022,21720,0,4.602438222200967e-18
2022,21720,1,2.650271977186789e-19
2022,21720,2,-7.361732751176576e-18
2022,21720,3,3.773023560249555e-18
2022,21720,4,-1.6263032587282566e-20
2022,21720,12,-1.0222409175517605e-5
2022,21740,0,-4.6855603887581885e-18
2022,21740,1,-2.3852447794681098e-18
2022,21740,2,3.505587024369798e-18
2022,21740,3,-5.978056029953975e-18
2022,21740,4,1.1347982738681613e-18
2022,21740,12,-3.4062557011712904e-6
2023,21720,0,-1.2094877568616072e-17
2023,21720,1,-4.890956466990165e-18
2023,21720,2,7.565321825787741e-18
2023,21720,3,-5.5414777704814674e-18
2023,21720,4,1.4456028966473393e-18
2023,21720,12,-1.264902534566422e-19
2023,21740,0,-9.251858538542971e-19
2023,21740,1,7.517135062566164e-19
2023,21740,2,-2.8653914558545473e-18
2023,21740,3,-2.358704413787475e-18
2023,21740,4,-7.02201607046445e-18
2023,21740,12,-2.2521120666976265e-9
