year,species_code,sex,bias
2013,21720,0,6.109450406791656e-19
2013,21720,1,-1.1011428314305904e-18
2013,21720,2,2.7909270209310927e-19
2013,21720,3,-5.388484797252957e-18
2013,21720,4,-5.823982281589355e-19
2013,21720,12,-1.0433876009995818e-6
2013,21740,0,7.058749065943712e-19
2013,21740,1,9.91948184058836e-19
2013,21740,2,-1.0015592281723147e-18
2013,21740,3,3.264391323679182e-18
2013,21740,4,-2.4290787344885196e-19
2013,21740,12,-1.954782591583312e-7
2014,21720,0,-9.846348157179345e-19
2014,21720,1,-2.0137460938958708e-19
2014,21720,2,-2.8586896567114367e-19
2014,21720,3,-1.8779930487695346e-18
2014,21720,4,-1.0229972111355163e-18
2014,21720,12,-7.6089377719137e-7
2014,21740,0,-4.785628932626385e-19
2014,21740,1,8.509151815958826e-19
2014,21740,2,3.4487615157680353e-19
2014,21740,3,3.4574002611482197e-18
2014,21740,4,-9.78853789912756e-19
2014,21740,12,-7.031272657365044e-8
2015,21720,0,-5.224210867022906e-19
2015,21720,1,2.7420229362278746e-20
2015,21720,2,-5.616283834353674e-19
2015,21720,3,-8.412605745767155e-19
2015,21720,4,1.3422768917340487e-19
2015,21720,12,-8.073957032937831e-7
2015,21740,0,-1.0898452433368067e-18
2015,21740,1,-9.39259887570048e-19
2015,21740,2,1.1215064317378686e-18
2015,21740,3,-1.6064764134443782e-18
2015,21740,4,-2.0384878050880858e-19
2015,21740,12,-5.338577978527209e-8
2016,21720,0,1.0322032656603773e-18
2016,21720,1,-2.489037304517027e-19
2016,21720,2,-5.752294859575871e-19
2016,21720,3,-4.87890977618477e-19
2016,21720,4,-8.775617979006028e-19
2016,21720,12,-1.3186640878222592e-6
2016,21740,0,6.8121730029813805e-19
2016,21740,1,-7.276403955197788e-19
2016,21740,2,7.961864187394118e-19
2016,21740,3,8.05407328132089e-20
2016,21740,4,4.1075132921078254e-20
2016,21740,12,-1.1087929184995854e-7
2017,21720,0,5.071885978080967e-19
2017,21720,1,3.7214928018216525e-19
2017,21720,2,-3.793184847839033e-19
2017,21720,3,-2.755149050080811e-18
2017,21720,4,7.6012000136212e-20
2017,21720,12,-8.525141660556838e-7
2017,21740,0,-6.9021482772348935e-19
2017,21740,1,1.7847635762453688e-19
2017,21740,2,4.0931690741415097e-19
2017,21740,3,-7.209944447028605e-19
2017,21740,4,-2.741823359921453e-19
2017,21740,12,-6.211125719356971e-8
2018,21720,0,-3.752544185880385e-19
2018,21720,1,-4.773305668475143e-19
2018,21720,2,1.8341086751213117e-19
2018,21720,3,-1.0842021724855044e-19
2018,21720,4,5.535454425078769e-19
2018,21720,12,-2.6180281075551778e-6
2018,21740,0,3.5107726157464155e-19
2018,21740,1,2.1743201306343723e-19
2018,21740,2,1.5497215152029707e-18
2018,21740,3,3.2500250837125e-18
2018,21740,4,1.0679534559480347e-18
2018,21740,12,-1.756841344910955e-7
2019,21720,0,8.804817376820445e-19
2019,21720,1,-5.043134517017133e-19
2019,21720,2,5.020202080577828e-19
2019,21720,3,-9.619830184962295e-18
2019,21720,4,-1.6796483124276764e-19
2019,21720,12,-4.262662960075074e-7
2019,21740,0,-1.3981054247130418e-18
2019,21740,1,-7.340145511492265e-19
2019,21740,2,2.907633098938398e-19
2019,21740,3,-1.4964248734825972e-19
2019,21740,4,-5.146142706022747e-19
2019,21740,12,-3.694955596376823e-7
2021,21720,0,1.0213737092134379e-18
2021,21720,1,9.62378356950732e-19
2021,21720,2,2.5763773274011214e-19
2021,21720,3,6.179952383167375e-19
2021,21720,4,2.801952095033837e-19
2021,21720,12,-6.577599765639047e-7
2021,21740,0,-8.702857421350896e-19
2021,21740,1,8.284528697016254e-19
2021,21740,2,-7.448979599911731e-19
2021,21740,3,1.286800968276228e-18
2021,21740,4,-2.235470789287856e-19
2021,21740,12,-1.5527968042832257e-7
2022,21720,0,-3.7920239349554898e-19
2022,21720,1,-3.9764008249124955e-19
2022,21720,2,-3.23025183348774e-19
2022,21720,3,-1.1428076953225587e-18
2022,21720,4,-3.8510646473185614e-19
2022,21720,12,-8.377786325173101e-7
2022,21740,0,-1.0852758762214606e-19
2022,21740,1,5.772466324124083e-19
2022,21740,2,-5.220669156642157e-19
2022,21740,3,-2.6778287824041287e-18
2022,21740,4,5.0465268594090365e-19
2022,21740,12,-4.8125667994181774e-8
2023,21720,0,4.3080609050655083e-19
2023,21720,1,-5.66407249077006e-19
2023,21720,2,-1.8344313543393134e-19
2023,21720,3,-3.3548897412759007e-19
2023,21720,4,-2.9103709832123515e-19
2023,21720,12,-7.078022536949666e-7
2023,21740,0,1.0359683518779679e-19
2023,21740,1,1.675608161628134e-19
2023,21740,2,-1.0646955019649128e-18
2023,21740,3,-1.9390538854067676e-19
2023,21740,4,-2.7448573229635187e-19
2023,21740,12,-2.392509033154126e-7
2024,21720,0,6.402877625775364e-19
2024,21720,1,5.586652861001696e-19
2024,21720,2,-6.321689229674595e-19
2024,21720,3,-6.1048922327645325e-18
2024,21720,4,-9.08572483830327e-20
2024,21720,12,-1.4878539388368323e-6
2024,21740,0,-5.858079863210741e-19
2024,21740,1,1.1404888780127257e-18
2024,21740,2,6.3709908909635e-20
2024,21740,3,5.065257024580716e-19
2024,21740,4,1.001090089653845e-18
2024,21740,12,-9.18054394246057e-8
